VARSIG3	head 
VARSIG2	formattedvalu format 
VARSIG5	object 
VARSIG4	order 
COMMENTS	field constructor constructor formattedvalu format head order 
CLASSES	complet 
VARSIG1	 
VARSIG0	 
METHODS	complet complet getvalu getformattedvalu format gethead head getord order tostr equal hashcod hash code 
MTHSIG4	gethead head 
MTHSIG5	getord order 
MTHSIG6	tostr 
MTHSIG7	equal object 
MTHSIG0	complet 
MTHSIG1	complet formattedvalu format head order 
PACKAGE	springframework roo shell 
MTHSIG2	getvalu 
MTHSIG3	getformattedvalu format 
VARIABLES	formattedvalu format head order order formattedvalu format head result 
MTHSIG8	hashcod hash code 
