VARSIG7	warn 
VARSIG6	classorinterfacetypedetail type detail typedetail type detail 
VARSIG3	includewarn includ warn 
VARSIG2	classorinterfacetypedetail type detail typedetail type detail 
VARSIG5	includewarn includ warn 
VARSIG4	list classorinterfacetypedetail type detail typedetail type detail 
COMMENTS	basic implement link gwtfilemanag gwt file manag encapsul file manag function requir link springframework roo addon gwt scaffold gwtscaffoldmetadataproviderimpl gwt scaffold metadata provid impl write type disk user project typedetail type detail type write requir warn warn top sourc file includ trail newlin empti content type warn 
CLASSES	gwtfilemanag gwt file manag 
VARSIG1	newcont content 
VARSIG0	destfil dest file 
METHODS	write write write write 
MTHSIG0	write destfil dest file newcont content 
MTHSIG1	write classorinterfacetypedetail type detail typedetail type detail includewarn includ warn 
PACKAGE	springframework roo addon gwt 
MTHSIG2	write list classorinterfacetypedetail type detail typedetail type detail includewarn includ warn 
MTHSIG3	write classorinterfacetypedetail type detail typedetail type detail warn 
VARIABLES	destfil dest file newcont content typedetail type detail includewarn includ warn typedetail type detail includewarn includ warn typedetail type detail warn 
