MTHSIG28	updatepluginrepositori updat plugin repositori element configur ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas jdbcdatabas jdbc databas modulenam modul 
MTHSIG29	updatefilt updat filter element configur ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas jdbcdatabas jdbc databas databasexpath databas path providersxpath provid path modulenam modul 
MTHSIG26	getprojectnam project modulenam modul 
MTHSIG27	updaterepositori updat repositori element configur ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas jdbcdatabas jdbc databas modulenam modul 
MTHSIG24	updatepomproperti updat pom properti element configur ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas jdbcdatabas jdbc databas modulenam modul 
MTHSIG25	updatedepend updat depend element configur ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas jdbcdatabas jdbc databas databasexpath databas path providersxpath provid path modulenam modul 
MTHSIG22	writeproperti write properti path exist properti prop 
MTHSIG23	updatelog updat log ormprovid orm provid ormprovid orm provid 
MTHSIG4	ispersistentclassavail persist 
VARSIG78	providersxpath provid path 
MTHSIG5	getdatabaseproperti databas properti 
VARSIG77	databasexpath databas path 
MTHSIG6	configurejpa configur jpa ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas jdbcdatabas jdbc databas jndi applicationid applic hostnam host databasenam databas usernam user password transactionmanag transact manag persistenceunit persist unit modulenam modul 
VARSIG76	jdbcdatabas jdbc databas jdbcdatabas jdbc databas 
MTHSIG7	newent entiti javatyp type createabstract creat javatyp type superclass list annotationmetadatabuild annot metadata builder annot 
VARSIG75	ormprovid orm provid ormprovid orm provid 
MTHSIG0	getnam 
MTHSIG1	isinstalledinmodul instal modul modulenam modul 
MTHSIG2	isjpainstallationposs jpa instal 
MTHSIG3	hasdatabaseproperti databas properti 
VARSIG79	modulenam modul 
MTHSIG20	updatedatabasedotcomconfigproperti updat databas dot config properti ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas jdbcdatabas jdbc databas hostnam host usernam user password persistenceunit persist unit modulenam modul 
VARSIG70	jdbcdatabas jdbc databas jdbcdatabas jdbc databas 
MTHSIG21	readproperti read properti path exist templatefilenam templat filenam 
MTHSIG8	newembeddableclass embedd javatyp type serializ 
VARSIG74	element configur 
MTHSIG9	newidentifi identifi javatyp type identifiertyp identifi type identifierfield identifi field identifiercolumn identifi column 
VARSIG73	element properti 
VARSIG72	element properti 
VARSIG71	modulenam modul 
MTHSIG39	getfilt filter xpathexpress path express element configur 
MTHSIG37	getunwantedormprovid unwant orm provid ormprovid orm provid ormprovid orm provid 
MTHSIG38	getdepend depend xpathexpress path express element configur modulenam modul 
MTHSIG35	updatedatanucleusplugin updat data nucleu plugin addtoplugin add plugin 
MTHSIG36	getunwanteddatabas unwant databas jdbcdatabas jdbc databas jdbcdatabas jdbc databas 
MTHSIG33	managegaebuildcommand manag gae build command addgaesettingstoplugin add gae set plugin document document collect 
MTHSIG34	managegaeprojectnatur manag gae project natur addgaesettingstoplugin add gae set plugin document document collect 
METHODS	getnam isinstalledinmodul instal modul isjpainstallationposs jpa instal hasdatabaseproperti databas properti ispersistentclassavail persist getdatabaseproperti databas properti configurejpa configur jpa newent entiti newembeddableclass embedd newidentifi identifi getpersistencepathoffocussedmodul persist path focuss modul getdatabasepropertiespath databas properti path getjndipropertiespath jndi properti path getpropertiespath properti path updateapplicationcontext updat applic context updatepersistencexml updat persist xml getconnectionstr connect managegaexml manag gae xml updatedatabaseproperti updat databas properti updatejndiproperti updat jndi properti updatedatabasedotcomconfigproperti updat databas dot config properti readproperti read properti writeproperti write properti updatelog updat log updatepomproperti updat pom properti updatedepend updat depend getprojectnam project updaterepositori updat repositori updatepluginrepositori updat plugin repositori updatefilt updat filter updateresourc updat resourc updatebuildplugin updat build plugin updateeclipseplugin updat plugin managegaebuildcommand manag gae build command managegaeprojectnatur manag gae project natur updatedatanucleusplugin updat data nucleu plugin getunwanteddatabas unwant databas getunwantedormprovid unwant orm provid getdepend depend getfilt filter getplugin plugin getresourc resourc getdbxpath path getproviderxpath provid path createpropertyel creat properti element createrefel creat element getpropertiesfromdatanucleusconfigur properti data nucleu configur 
VARSIG67	ioexcept except 
VARSIG66	ormprovid orm provid ormprovid orm provid 
VARSIG65	ioexcept except 
VARSIG64	properti prop 
VARSIG69	ormprovid orm provid ormprovid orm provid 
VARSIG68	element configur 
MTHSIG31	updatebuildplugin updat build plugin element configur ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas jdbcdatabas jdbc databas databasexpath databas path providersxpath provid path modulenam modul 
MTHSIG32	updateeclipseplugin updat plugin addgaesettingstoplugin add gae set plugin 
MTHSIG30	updateresourc updat resourc element configur ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas jdbcdatabas jdbc databas databasexpath databas path providersxpath provid path modulenam modul 
VARSIG63	exist 
VARSIG62	path 
VARSIG61	ioexcept except 
VARSIG60	templatefilenam templat filenam 
VARSIG99	ormprovid orm provid ormprovid orm provid 
VARSIG98	element configur 
VARSIG97	element pluginrepositoryel plugin repositori element 
VARSIG92	element configur 
VARSIG91	element repositoryel repositori element 
VARSIG90	element repositoryel repositori element 
VARSIG96	element pluginrepositoryel plugin repositori element 
VARSIG95	modulenam modul 
VARSIG94	jdbcdatabas jdbc databas jdbcdatabas jdbc databas 
VARSIG93	ormprovid orm provid ormprovid orm provid 
MTHSIG17	managegaexml manag gae xml ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas jdbcdatabas jdbc databas applicationid applic modulenam modul 
MTHSIG18	updatedatabaseproperti updat databas properti ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas jdbcdatabas jdbc databas hostnam host databasenam databas usernam user password modulenam modul 
MTHSIG15	updatepersistencexml updat persist xml ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas jdbcdatabas jdbc databas hostnam host databasenam databas usernam user password persistenceunit persist unit modulenam modul 
MTHSIG16	getconnectionstr connect jdbcdatabas jdbc databas jdbcdatabas jdbc databas hostnam host databasenam databas modulenam modul 
MTHSIG13	getpropertiespath properti path propertiesfil properti file 
MTHSIG14	updateapplicationcontext updat applic context ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas jdbcdatabas jdbc databas jndi transactionmanag transact manag persistenceunit persist unit 
MTHSIG11	getdatabasepropertiespath databas properti path 
MTHSIG12	getjndipropertiespath jndi properti path 
MTHSIG19	updatejndiproperti updat jndi properti 
VARSIG89	element repositoryel repositori element 
VARSIG88	modulenam modul 
VARSIG87	jdbcdatabas jdbc databas jdbcdatabas jdbc databas 
VARSIG86	ormprovid orm provid ormprovid orm provid 
VARSIG81	element dependencyel depend element 
MTHSIG10	getpersistencepathoffocussedmodul persist path focuss modul 
VARSIG80	element dependencyel depend element 
