MTHSIG28	updatetypecach updat type cach 
MTHSIG26	updateattributecach updat attribut cach memberholdingtypedetail member hold type detail cid 
MTHSIG27	updatechang updat typenam type remov 
MTHSIG24	lookupclassorinterfacetypedetail lookup type detail physicaltypeidentifi physic type identifi 
MTHSIG25	processtypeswithtag process type tag object tag locatedtypecallback locat type callback callback 
MTHSIG22	getproposedjavatyp propos type filecanonicalpath file canon path 
MTHSIG23	inittypemap init type map 
MTHSIG4	getphysicaltypecanonicalpath physic type canon path javatyp type javatyp type logicalpath logic path path 
MTHSIG5	getphysicaltypecanonicalpath physic type canon path physicaltypeid physic type 
MTHSIG6	getphysicaltypeidentifi physic type identifi javatyp type type 
MTHSIG7	getphysicaltypeidentifi physic type identifi filecanonicalpath file canon path 
MTHSIG0	findclassesorinterfacedetailswithannot find class detail annot javatyp type annotationstodetect annot detect 
MTHSIG1	findclassesorinterfacedetailswithtag find class detail tag object tag 
MTHSIG2	findtypeswithannot find type annot javatyp type annotationstodetect annot detect 
MTHSIG3	findtypeswithannot find type annot list javatyp type annotationstodetect annot detect 
MTHSIG20	getparentpath parent path javatyp type javatyp type 
MTHSIG21	getphysicalpath physic path javatyp type javatyp type 
MTHSIG8	getpotentialtoplevelpackagesformodul potenti top level packag modul pom modul 
MTHSIG9	gettoplevelpackageformodul top level modul pom modul 
