VARSIG2	messag 
COMMENTS	simpl produc bodi link invocablemembermetadata invoc member metadata getbodi bodi bodi assum indent level field constructor empti bodi increas indent level reset indent decreas indent level print blank ensur indent includ consist javapars javapars dumpvisitor dump visitor stringbuild builder append stringutil util separ print messag indent print messag ad indent return commonli print relev number indent 
CLASSES	invocablememberbodybuild invoc member bodi builder 
VARSIG1	messag 
VARSIG0	indentbefor indent 
METHODS	getinst instanc invocablememberbodybuild invoc member bodi builder indent reset indentremov indent remov newlin newlin append appendformallin append formal appendind append indent getoutput output 
MTHSIG4	indentremov indent remov 
MTHSIG5	newlin indentbefor indent 
MTHSIG6	newlin 
MTHSIG7	append messag 
MTHSIG0	getinst instanc 
MTHSIG1	invocablememberbodybuild invoc member bodi builder 
PACKAGE	springframework roo classpath 
MTHSIG2	indent 
MTHSIG3	reset 
MTHSIG10	getoutput output 
VARIABLES	indentbefor indent messag messag reset indentlevel indent level stringbuild builder 
MTHSIG8	appendformallin append formal messag 
MTHSIG9	appendind append indent 
