VARSIG7	pom pom 
VARSIG6	downstreamdepend downstream depend 
VARSIG9	versioninfo version info 
VARSIG8	properti existingproperti exist properti 
VARSIG3	version 
VARSIG2	componentcontext compon context componentcontext compon context 
VARSIG5	upstreamdepend upstream depend 
VARSIG4	runtimeexcept runtim except 
COMMENTS	automat upgrad spring roo annot jar current version roo annot jar equal newer version roo run upgrad servic constant field extract version except version extract empti version normal form project metadata field 
CLASSES	automaticprojectupgradeservic automat project upgrad servic 
VARSIG1	bundl 
VARSIG0	componentcontext compon context componentcontext compon context 
METHODS	activ deactiv extractversioninfofromstr extract version info notifi 
MTHSIG0	activ componentcontext compon context componentcontext compon context 
MTHSIG1	deactiv componentcontext compon context componentcontext compon context 
PACKAGE	springframework roo project 
MTHSIG2	extractversioninfofromstr extract version info version 
MTHSIG3	notifi upstreamdepend upstream depend downstreamdepend downstream depend 
VARIABLES	componentcontext compon context componentcontext compon context version upstreamdepend upstream depend downstreamdepend downstream depend pom existingproperti exist properti bundl symbol metadatadependencyregistri metadata depend registri projectoper project oper bundleversioninfo bundl version info version ver result modulenam modul roovers roo version newproperti properti major minor patch qualifi result 
