VARSIG7	map javatyp type list methodmetadata metadata tostringmethod method 
VARSIG6	map javatyp type map object javasymbolnam symbol compositeprimarykeytyp composit primari kei type 
VARSIG9	entri javatyp type map object javasymbolnam symbol entri 
VARSIG8	javatyp type formbackingobject form back object 
VARSIG3	map javatyp type membertypeaddit member type addit findmethod find method 
VARSIG2	physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
VARSIG5	set javatyp type relevantdomaintyp relev domain type 
VARSIG4	map javatyp type javatyp type idtyp type 
COMMENTS	repres metadata applic wide convers servic gener method afterpropertiesset properti set overrid initializingbean initi bean lifecycl parent installlabelconvert instal label convert formatterregistri formatt registri registri regist convert method convert scaffold domain type associ constant field product constructor identifi aspectnam aspect governorphysicaltypemetadata governor physic type metadata findmethod find method idtyp type type domain type gener convert requir domain type relevantdomaintyp relev domain type type gener convert requir compositeprimarykeytyp composit primari kei type requir convers type return type convert gener targettyp target type type convert requir methodnam gener requir idtyp type type target type requir gener 
VARSIG19	javatyp type idtyp type 
VARSIG1	javatyp type aspectnam aspect 
VARSIG18	javasymbolnam symbol methodnam 
VARSIG0	identifi 
VARSIG17	javatyp type targettyp target type 
MTHSIG4	gettostringconvertermethod convert javatyp type targettyp target type javasymbolnam symbol methodnam list methodmetadata metadata tostringmethod method 
VARSIG12	javatyp type targettyp target type 
MTHSIG5	getstringtotypeconvertermethod type convert javatyp type targettyp target type javasymbolnam symbol methodnam javatyp type idtyp type 
VARSIG11	javasymbolnam symbol jsonmethodnam json 
MTHSIG6	gettotypeconvertermethod type convert javatyp type targettyp target type javasymbolnam symbol methodnam membertypeaddit member type addit findmethod find javatyp type idtyp type 
VARSIG10	javatyp type targettyp target type 
MTHSIG7	getafterpropertiessetmethod properti set 
MTHSIG0	conversionservicemetadata convers servic metadata identifi javatyp type aspectnam aspect physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata map javatyp type membertypeaddit member type addit findmethod find method map javatyp type javatyp type idtyp type set javatyp type relevantdomaintyp relev domain type map javatyp type map object javasymbolnam symbol compositeprimarykeytyp composit primari kei type map javatyp type list methodmetadata metadata tostringmethod method 
VARSIG16	list methodmetadata metadata tostringmethod method 
MTHSIG1	getinstalllabelconvertersmethod instal label convert 
VARSIG15	javasymbolnam symbol methodnam 
PACKAGE	springframework roo addon web mvc control convert 
MTHSIG2	getjsontoconvertermethod json convert javatyp type targettyp target type javasymbolnam symbol jsonmethodnam json 
VARSIG14	javatyp type targettyp target type 
MTHSIG3	gettojsonconvertermethod json convert javatyp type targettyp target type javasymbolnam symbol jsonmethodnam json 
VARSIG13	javasymbolnam symbol jsonmethodnam json 
CLASSES	conversionservicemetadata convers servic metadata 
METHODS	conversionservicemetadata convers servic metadata getinstalllabelconvertersmethod instal label convert getjsontoconvertermethod json convert gettojsonconvertermethod json convert gettostringconvertermethod convert getstringtotypeconvertermethod type convert gettotypeconvertermethod type convert getafterpropertiessetmethod properti set 
VARSIG23	javatyp type idtyp type 
VARSIG22	membertypeaddit member type addit findmethod find 
VARSIG21	javasymbolnam symbol methodnam 
VARSIG20	javatyp type targettyp target type 
VARIABLES	identifi aspectnam aspect governorphysicaltypemetadata governor physic type metadata findmethod find method idtyp type relevantdomaintyp relev domain type compositeprimarykeytyp composit primari kei type tostringmethod method formbackingobject form back object entri targettyp target type jsonmethodnam json targettyp target type jsonmethodnam json targettyp target type methodnam tostringmethod method targettyp target type methodnam idtyp type targettyp target type methodnam findmethod find idtyp type base convert instal label convert findmethod find method idtyp type relevantdomaintyp relev domain type compositeprimarykeytyp composit primari kei type tostringmethod method sortedrelevantdomaintyp sort relev domain type bodybuild bodi builder methodnam name simplenam simpl toidmethodnam totypemethodnam type totypeconvertermethod type convert stringtotypemethodnam type targettyp target type jsonmethodnam json name jsontoconvertermethod json convert tojsonconvertermethod json convert parametertyp paramet type parameternam paramet name methodnam converterjavatyp convert type base name base typenam type bodybuild bodi builder methodnam converterjavatyp convert type base name base targettypenam target type bodybuild bodi builder converterjavatyp convert type targettypenam target type bodybuild bodi builder converterjavatyp convert type idtypenam type bodybuild bodi builder totypeconvertermethod type convert converterjavatyp convert type bodybuild bodi builder methodnam bodybuild bodi builder 
