VARSIG7	javatyp type entiti 
VARSIG6	methodmetadata metadata 
VARSIG3	javatyp type entiti 
VARSIG2	transact 
VARSIG5	memberholdingtypedetail member hold type detail typedetail type detail 
VARSIG4	javatyp type javatyp type 
COMMENTS	conveni method creat mock test constant field verifi request entiti exist file exist creat mock test entiti silent return mock test file exist entiti produc mock test requir file exist determin mock infrastructur instal entiti demo usabl file exist determin test infrastructur instal demo usabl check creat test test method creat instanc entiti test entiti entiti lookup requir type detail except pars 
CLASSES	integrationtestoperationsimpl integr test oper impl 
VARSIG1	javatyp type entiti 
VARSIG0	javatyp type entiti 
METHODS	isintegrationtestinstallationposs integr test instal newintegrationtest integr test newintegrationtest integr test newmocktest mock test newteststub test stub getent entiti 
MTHSIG4	newteststub test stub javatyp type javatyp type 
MTHSIG5	getent entiti javatyp type entiti 
MTHSIG0	isintegrationtestinstallationposs integr test instal 
MTHSIG1	newintegrationtest integr test javatyp type entiti 
PACKAGE	springframework roo addon test 
MTHSIG2	newintegrationtest integr test javatyp type entiti transact 
MTHSIG3	newmocktest mock test javatyp type entiti 
VARIABLES	entiti entiti transact entiti javatyp type typedetail type detail entiti junit test dataondemandoper data demand oper memberdetailsscann member detail scanner metadataservic metadata servic projectoper project oper typelocationservic type locat servic typemanagementservic type manag servic cid path declaredbymetadataid declar metadata annot config method methodannot annot methodbuild builder cidbuild cid builder declaredbymetadataid declar metadata annot config method methodannot annot bodybuild bodi builder cid memberdetail member detail countmethod count method countmethod count methodbuild builder cidbuild cid builder declaredbymetadataid declar metadata annot config method methodannot annot governortypedetail governor type detail memberdetail member detail bodybuild bodi builder methodbuild builder cidbuild cid builder fieldbuild field builder field cid 
