VARSIG7	javatyp type importtyp type 
VARSIG6	javapackag importpackag 
VARSIG9	isasterisk asterisk 
VARSIG8	isstat 
VARSIG3	importmetadata metadata exist 
VARSIG2	declaredbymetadataid declaredbi metadata 
VARSIG5	modifi 
VARSIG4	declaredbymetadataid declaredbi metadata 
COMMENTS	builder link importmetadata metadata field build link javatyp type caller callermid caller mid metadata compil unit receiv requir typetoimport type type requir wildcard 
VARSIG1	javatyp type typetoimport type 
VARSIG0	callermid caller mid 
MTHSIG4	build 
VARSIG12	astat 
MTHSIG5	getimportpackag 
VARSIG11	javatyp type importtyp type 
MTHSIG6	setimportpackag set javapackag importpackag 
VARSIG10	javapackag importpackag 
MTHSIG7	getimporttyp type 
MTHSIG0	getimport callermid caller mid javatyp type typetoimport type 
MTHSIG1	importmetadatabuild metadata builder declaredbymetadataid declaredbi metadata 
PACKAGE	springframework roo classpath detail 
MTHSIG2	importmetadatabuild metadata builder importmetadata metadata exist 
MTHSIG3	importmetadatabuild metadata builder declaredbymetadataid declaredbi metadata modifi javapackag importpackag javatyp type importtyp type isstat isasterisk asterisk 
VARSIG13	asterisk 
MTHSIG8	setimporttyp set type javatyp type importtyp type 
MTHSIG9	isstat 
MTHSIG11	isasterisk asterisk 
MTHSIG12	setasterisk set asterisk asterisk 
CLASSES	importmetadatabuild metadata builder 
METHODS	getimport importmetadatabuild metadata builder importmetadatabuild metadata builder importmetadatabuild metadata builder build getimportpackag setimportpackag set getimporttyp type setimporttyp set type isstat setstat set isasterisk asterisk setasterisk set asterisk 
MTHSIG10	setstat set astat 
VARIABLES	callermid caller mid typetoimport type declaredbymetadataid declaredbi metadata exist declaredbymetadataid declaredbi metadata modifi importpackag importtyp type isstat isasterisk asterisk importpackag importtyp type astat asterisk isasterisk asterisk isstat importpackag importtyp type 
