VARSIG3	fieldmetadata field metadata field 
VARSIG2	javasymbolnam symbol constantnam constant 
VARSIG5	classorinterfacetypedetail type detail cid 
VARSIG4	annotationmetadata annot metadata annot 
COMMENTS	implement link typemanagementservic type manag servic field physic type mutabl detail ensur physic type mutabl detail automat add jsr bean valid api support current jsr support jsr annot version repres version user user depend list 
CLASSES	typemanagementserviceimpl type manag servic impl 
VARSIG1	physicaltypeidentifi physic type identifi 
VARSIG0	classorinterfacetypedetail type detail cid 
METHODS	generateclassfil gener file addenumconst add constant addfield add field createorupdatetypeondisk creat updat type disk 
MTHSIG0	generateclassfil gener file classorinterfacetypedetail type detail cid 
MTHSIG1	addenumconst add constant physicaltypeidentifi physic type identifi javasymbolnam symbol constantnam constant 
PACKAGE	springframework roo classpath 
MTHSIG2	addfield add field fieldmetadata field metadata field 
MTHSIG3	createorupdatetypeondisk creat updat type disk classorinterfacetypedetail type detail cid 
VARIABLES	cid physicaltypeidentifi physic type identifi constantnam constant field annot cid filemanag file manag metadataservic metadata servic projectoper project oper typelocationservic type locat servic typeparsingservic type pars servic ptm ptd cidbuild cid builder ptm ptd cidbuild cid builder jsr requir jsr requir path filecanonicalpath file canon path newcont content 
