VARSIG7	itdfilenam filenam 
VARSIG6	physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
VARSIG9	fieldmetadata field metadata field 
VARSIG8	fieldmetadata field metadata field 
VARSIG3	producedmid produc mid 
VARSIG2	upstreamdepend upstream depend 
VARSIG5	javatyp type aspectnam aspect 
VARSIG4	metadataidentificationstr metadata identif 
COMMENTS	link javabeanmetadata bean metadata field notifi projectmetadata project metadata order handl jpa gae persist upstream depend invalid upstream depend isn projectmetadata project metadata project isn valid determin persist chang compar current order handl switch gae jpa produc mid rememb regener jpa gae interest field annot javax persist field common collect type element type 
VARSIG1	componentcontext compon context context 
VARSIG0	componentcontext compon context context 
MTHSIG4	getidentifieraccessormethodnam identifi accessor fieldmetadata field metadata field metadataidentificationstr metadata identif 
VARSIG12	metadataidentificationstr metadata identif 
MTHSIG5	getitduniquenessfilenamesuffix uniqu filenam suffix 
VARSIG11	annotationmetadata annot metadata annotationmetadata annot metadata 
MTHSIG6	getgovernorphysicaltypeidentifi governor physic type identifi metadataidentificationstr metadata identif 
VARSIG10	metadataidentificationstr metadata identif 
MTHSIG7	createlocalidentifi creat local identifi javatyp type javatyp type logicalpath logic path path 
MTHSIG0	activ componentcontext compon context context 
MTHSIG1	deactiv componentcontext compon context context 
PACKAGE	springframework roo addon javabean 
MTHSIG2	notifyforgenericlisten notifi listen upstreamdepend upstream depend 
VARSIG14	logicalpath logic path path 
MTHSIG3	getmetadata metadata metadataidentificationstr metadata identif javatyp type aspectnam aspect physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata itdfilenam filenam 
VARSIG13	javatyp type javatyp type 
MTHSIG8	getprovidestyp type 
CLASSES	javabeanmetadataprovid bean metadata provid 
METHODS	activ deactiv notifyforgenericlisten notifi listen getmetadata metadata getidentifieraccessormethodnam identifi accessor getitduniquenessfilenamesuffix uniqu filenam suffix getgovernorphysicaltypeidentifi governor physic type identifi createlocalidentifi creat local identifi getprovidestyp type 
VARIABLES	context context upstreamdepend upstream depend producedmid produc mid metadataidentificationstr metadata identif aspectnam aspect governorphysicaltypemetadata governor physic type metadata itdfilenam filenam field field metadataidentificationstr metadata identif annotationmetadata annot metadata metadataidentificationstr metadata identif javatyp type path projectoper project oper producedmid produc mid wasgaeen gae enabl isgaeen gae enabl hasgaestatechang gae chang annotationvalu annot valu declaredfield declar field path modulenm modul nme fieldtyp field type identifieraccessor identifi accessor javatyp type path 
