VARSIG3	pom pom 
VARSIG2	metadataidentificationstr metadata identif 
COMMENTS	metadata modul user user project simpl project instanc multi modul project constant return metadata project level metadata modul modulenam modul fulli qualifi modul separ link file separ blank root modul blank mid field constructor pom pom modul project requir 
CLASSES	projectmetadata project metadata 
VARSIG1	metadataidentificationstr metadata identif 
VARSIG0	modulenam modul 
METHODS	getprojectidentifi project identifi isvalid valid getmodulenam modul projectmetadata project metadata getpom pom getmodulenam modul tostr 
MTHSIG4	getpom pom 
MTHSIG5	getmodulenam modul 
MTHSIG6	tostr 
MTHSIG0	getprojectidentifi project identifi modulenam modul 
MTHSIG1	isvalid valid metadataidentificationstr metadata identif 
PACKAGE	springframework roo project 
MTHSIG2	getmodulenam modul metadataidentificationstr metadata identif 
MTHSIG3	projectmetadata project metadata pom pom 
VARIABLES	modulenam modul metadataidentificationstr metadata identif metadataidentificationstr metadata identif pom modul separ project mid prefix pom tsc 
