VARSIG6	isasterisk asterisk 
VARSIG3	javapackag importpackag 
VARSIG2	modifi 
VARSIG5	isstat 
VARSIG4	javatyp type importtyp type 
COMMENTS	implement link importmetadata metadata field mandat importmetadatabuild metadata builder 
CLASSES	defaultimportmetadata metadata 
VARSIG1	declaredbymetadataid declar metadata 
VARSIG0	customdata custom data customdata custom data 
METHODS	defaultimportmetadata metadata getimportpackag getimporttyp type isstat isasterisk asterisk tostr 
MTHSIG4	isasterisk asterisk 
MTHSIG5	tostr 
MTHSIG0	defaultimportmetadata metadata customdata custom data customdata custom data declaredbymetadataid declar metadata modifi javapackag importpackag javatyp type importtyp type isstat isasterisk asterisk 
MTHSIG1	getimportpackag 
PACKAGE	springframework roo classpath detail 
MTHSIG2	getimporttyp type 
MTHSIG3	isstat 
VARIABLES	customdata custom data declaredbymetadataid declar metadata modifi importpackag importtyp type isstat isasterisk asterisk isstat importpackag importtyp type isasterisk asterisk tsc 
