VARSIG7	map entri entri 
VARSIG6	classorinterfacetypedetail type detail type 
VARSIG9	metadataidentificationstr metadata identif 
VARSIG8	map entri entri 
VARSIG3	methodmetadata metadata proxymethod proxi 
VARSIG2	metadataidentificationstr metadata identif 
VARSIG5	map entri gwttype gwt type list classorinterfacetypedetail type detail entri 
VARSIG4	map entri gwttype gwt type javatyp type entri 
COMMENTS	monitor type creat updat delet gwt file maintain mirror compat object find list mirror compat object link springframework roo addon gwt gwttype gwt type roojpaent roo jpa entiti instanc mirror compat roo add on provid aim expos content file link gwtscaffoldmetadata gwt scaffold metadata attempt avoid write disk separ type monitor creation delet aforement file maintain global index field governor governor gener strategi instanti gwtscaffoldmetadata gwt scaffold metadata offer conceptu represent kei specif type comparison write disk need physic type chang determin local metadata identif proce downstream depend relationship regist regist event deliv instanc specif downstream depend process 
VARSIG1	componentcontext compon context context 
VARSIG0	componentcontext compon context context 
MTHSIG4	buildtyp build type gwttype gwt type type modulenam modul 
VARSIG12	upstreamdepend upstream depend 
MTHSIG5	notifi upstreamdepend upstream depend downstreamdepend downstream depend 
VARSIG11	modulenam modul 
MTHSIG6	createlocalidentifi creat local identifi javatyp type javatyp type logicalpath logic path path 
VARSIG10	gwttype gwt type type 
MTHSIG7	getprovidestyp type 
MTHSIG0	activ componentcontext compon context context 
MTHSIG1	deactiv componentcontext compon context context 
VARSIG15	logicalpath logic path path 
PACKAGE	springframework roo addon gwt scaffold 
MTHSIG2	metadataidentificationstr metadata identif 
VARSIG14	javatyp type javatyp type 
MTHSIG3	getgovernor governor metadataidentificationstr metadata identif 
VARSIG13	downstreamdepend downstream depend 
CLASSES	gwtscaffoldmetadataproviderimpl gwt scaffold metadata provid impl 
METHODS	activ deactiv getgovernor governor buildtyp build type notifi createlocalidentifi creat local identifi getprovidestyp type 
VARIABLES	context context metadataidentificationstr metadata identif proxymethod proxi entri entri type entri entri metadataidentificationstr metadata identif type modulenam modul upstreamdepend upstream depend downstreamdepend downstream depend javatyp type path gwtfilemanag gwt file manag gwttemplateservic gwt templat servic gwttypeservic gwt type servic metadatadependencyregistri metadata depend registri metadataservic metadata servic projectoper project oper typelocationservic type locat servic mirroredtyp mirror type proxi request modulenam modul gwtscaffoldmetadata gwt scaffold metadata toplevelpackag top level clientsidetypemap client side type map propertynam properti propertytyp properti type ptmd field annot gwtproxyproperti gwt proxi properti templatedatahold templat data holder typestobewritten type written xmltobewritten xml written mirrortypemap mirror type map gwttype gwt type javatyp type extendstyp type gwtpath gwt path pathresolv path resolv webapppath webapp path packagepath path targetdirectori target directori destfil dest file content governortypenam governor type governortypepath governor type path physicaltypeid physic type cid entitytyp entiti type entitytyp entiti type entitytyp entiti type typenam type typepath type path 
