VARSIG3	configur 
VARSIG2	object obj 
COMMENTS	immut represent configur specif maven build plugin factori configurationel configur element xml node pars instanc element field constructor xml element link getinst instanc element safeti configur xml element configur requir return xml element defin configur element 
CLASSES	configur 
VARSIG1	element configur 
VARSIG0	element configurationel configur element 
METHODS	getinst instanc configur getconfigur configur hashcod hash code equal compareto compar 
MTHSIG4	equal object obj 
MTHSIG5	compareto compar configur 
MTHSIG0	getinst instanc element configurationel configur element 
MTHSIG1	configur element configur 
PACKAGE	springframework roo project 
MTHSIG2	getconfigur configur 
MTHSIG3	hashcod hash code 
VARIABLES	configurationel configur element configur obj configur prime result 
