VARSIG3	javatyp type idtyp type 
VARSIG2	javatyp type targetent target entiti 
VARSIG4	methodparamet paramet methodparamet paramet 
COMMENTS	persist method layer applic prioriti core layer layer provid determin provid link membertypeaddit member type addit target entiti construct provid request function simpli callermid caller mid caller caller metadata methodidentifi identifi specifi request targetent target entiti specifi target entiti idtyp type specifi type target entiti methodparamet paramet paramet pass link membertypeaddit member type addit layer provid offer function return posit layer rel larg number higher level layer smaller number level layer return prioriti layer rel implement posit greater link core layer prioriti order preced core link layerprovid layer provid getlayerposit layer posit 
CLASSES	layerprovid layer provid 
VARSIG1	methodidentifi identifi 
VARSIG0	callermid caller mid 
METHODS	getmembertypeaddit member type addit getlayerposit layer posit getprior prioriti 
MTHSIG0	getmembertypeaddit member type addit callermid caller mid methodidentifi identifi javatyp type targetent target entiti javatyp type idtyp type methodparamet paramet methodparamet paramet 
MTHSIG1	getlayerposit layer posit 
PACKAGE	springframework roo classpath layer 
MTHSIG2	getprior prioriti 
VARIABLES	callermid caller mid methodidentifi identifi targetent target entiti idtyp type methodparamet paramet core layer prioriti 
