VARSIG7	itdfilenam filenam 
VARSIG6	physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
VARSIG9	javatyp type javatyp type 
VARSIG8	javatyp type type 
VARSIG3	javatyp type type 
VARSIG2	itdtypedetail type detail itdtypedetail type detail 
VARSIG5	javatyp type aspectnam aspect 
VARSIG4	metadataidentificationstr metadata identif 
COMMENTS	link metadataprovid metadata provid provid link serviceinterfacemetadata servic metadata field determin governor metadata hope hear javatyp type itd simpli disregard field identifi maintain list entiti handl layer 
VARSIG1	componentcontext compon context context 
VARSIG0	componentcontext compon context context 
MTHSIG4	getitduniquenessfilenamesuffix uniqu filenam suffix 
MTHSIG5	getprovidestyp type 
VARSIG11	metadataidentificationstr metadata identif 
MTHSIG6	createlocalidentifi creat local identifi javatyp type javatyp type logicalpath logic path path 
VARSIG10	logicalpath logic path path 
MTHSIG7	getgovernorphysicaltypeidentifi governor physic type identifi metadataidentificationstr metadata identif 
MTHSIG0	activ componentcontext compon context context 
MTHSIG1	deactiv componentcontext compon context context 
PACKAGE	springframework roo addon layer servic 
MTHSIG2	getlocalmidtorequest local mid request itdtypedetail type detail itdtypedetail type detail 
MTHSIG3	getmetadata metadata metadataidentificationstr metadata identif javatyp type aspectnam aspect physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata itdfilenam filenam 
CLASSES	serviceinterfacemetadataprovid servic metadata provid 
METHODS	activ deactiv getlocalmidtorequest local mid request getmetadata metadata getitduniquenessfilenamesuffix uniqu filenam suffix getprovidestyp type createlocalidentifi creat local identifi getgovernorphysicaltypeidentifi governor physic type identifi 
VARIABLES	context context itdtypedetail type detail type metadataidentificationstr metadata identif aspectnam aspect governorphysicaltypemetadata governor physic type metadata itdfilenam filenam type javatyp type path metadataidentificationstr metadata identif customdatakeydecor custom data kei decor managedentitytyp manag entiti type governor localmid local mid memberholdingtypedetail member hold type detail localmidtyp local mid type annotationvalu annot valu cid memberdetail member detail domaintyp domain type domaintypeplur domain type plural domaintypetoidtypemap domain type type map idtyp type domaintypeid domain type path pluralid plural pluralmetadata plural metadata javatyp type path 
