VARSIG7	relativetemplateloc rel templat locat 
VARSIG6	downstreamdepend downstream depend 
VARSIG9	ioexcept except 
VARSIG8	relativeprojectfileloc rel project file locat 
VARSIG3	webscaffoldmetadata web scaffold metadata webscaffoldmetadata web scaffold metadata 
VARSIG2	webscaffoldmetadata web scaffold metadata webscaffoldmetadata web scaffold metadata 
VARSIG5	upstreamdepend upstream depend 
VARSIG4	methodmetadata metadata 
COMMENTS	metadata listen respons instal web mvc jsp artifact solr search addon field instal search jspx add document namespac interest accessor physic type chang determin local metadata identif proce downstream depend relationship regist regist event deliv instanc specif downstream depend process instal search tagx 
CLASSES	solrjspmetadatalisten solr jsp metadata listen 
VARSIG1	metadataidentificationstr metadata identif 
VARSIG0	componentcontext compon context context 
METHODS	activ installmvcartifact instal mvc artifact getsearchdocu search document getprovidestyp type notifi copyartifact copi artifact 
MTHSIG4	getprovidestyp type 
MTHSIG5	notifi upstreamdepend upstream depend downstreamdepend downstream depend 
MTHSIG6	copyartifact copi artifact relativetemplateloc rel templat locat relativeprojectfileloc rel project file locat 
MTHSIG0	activ componentcontext compon context context 
MTHSIG1	metadataidentificationstr metadata identif 
PACKAGE	springframework roo addon solr 
MTHSIG2	installmvcartifact instal mvc artifact webscaffoldmetadata web scaffold metadata webscaffoldmetadata web scaffold metadata 
MTHSIG3	getsearchdocu search document webscaffoldmetadata web scaffold metadata webscaffoldmetadata web scaffold metadata 
VARIABLES	context metadataidentificationstr metadata identif webscaffoldmetadata web scaffold metadata webscaffoldmetadata web scaffold metadata upstreamdepend upstream depend downstreamdepend downstream depend relativetemplateloc rel templat locat relativeprojectfileloc rel project file locat metadatadependencyregistri metadata depend registri metadataservic metadata servic filemanag file manag tilesoper tile oper menuoper menu oper memberdetailsscann member detail scanner persistencememberloc persist member locat pathresolv path resolv typelocationservic type locat servic xmlroundtripfilemanag xml trip file manag webscaffoldmetadata web scaffold metadata jpaactiverecordmetadata jpa activ record metadata javatyp type formbackingobject formback object path solrwebsearchmetadatakeystr solr web search metadata kei websearchmetadata web search metadata path foldernam folder builder document div pagesearch search idfield field resultt result tabl facetfield facet field fieldcount field counter formbackingclassorinterfacedetail formback detail memberdetail member detail identifieraccessor identifi accessor versionaccessor version accessor field columnel column element searchfacet search facet searchfield search field javatyp type path projectfileloc project file locat 
