MTHSIG22	tostr 
MTHSIG23	getdynamicfindernam dynam finder name 
MTHSIG4	gettyp type 
MTHSIG5	getgovernor governor 
MTHSIG6	getaspect aspect 
MTHSIG7	isprivilegedaspect privileg aspect 
MTHSIG0	defaultitdtypedetail type detail customdata custom data customdata custom data declaredbymetadataid declar metadata modifi classorinterfacetypedetail type detail governor javatyp type aspect privilegedaspect privileg aspect collect javatyp type registeredimport regist import collect constructormetadata constructor metadata declaredconstructor declar constructor collect fieldmetadata field metadata declaredfield declar field collect methodmetadata metadata declaredmethod declar method collect javatyp type extendstyp type collect javatyp type implementstyp type collect annotationmetadata annot metadata typeannot type annot collect declaredfieldannotationdetail declar field annot detail fieldannot field annot collect declaredmethodannotationdetail declar annot detail methodannot annot collect classorinterfacetypedetail type detail innertyp type 
MTHSIG1	getregisteredimport regist import 
PACKAGE	springframework roo classpath detail 
MTHSIG2	getphysicaltypecategori physic type categori 
MTHSIG3	getnam 
MTHSIG20	hashcod hash code 
MTHSIG21	includecustomdatahash includ custom data hash collect customdataaccessor custom data accessor coll 
MTHSIG8	getdeclaredconstructor declar constructor 
MTHSIG9	getdeclaredfield declar field 
CLASSES	defaultitdtypedetail type detail 
METHODS	defaultitdtypedetail type detail getregisteredimport regist import getphysicaltypecategori physic type categori getnam gettyp type getgovernor governor getaspect aspect isprivilegedaspect privileg aspect getdeclaredconstructor declar constructor getdeclaredfield declar field getdeclaredmethod declar method getdeclaredinnertyp declar type getdeclarediniti declar initi getextendstyp type getimplementstyp type getfieldannot field annot getmethodannot annot getinnertyp type extendstyp type implementsani hashcod hash code includecustomdatahash includ custom data hash tostr getdynamicfindernam dynam finder name 
VARSIG20	customdataaccessor custom data accessor accessor 
VARSIG7	collect constructormetadata constructor metadata declaredconstructor declar constructor 
VARSIG6	collect javatyp type registeredimport regist import 
VARSIG9	collect methodmetadata metadata declaredmethod declar method 
VARSIG8	collect fieldmetadata field metadata declaredfield declar field 
VARSIG3	classorinterfacetypedetail type detail governor 
VARSIG2	modifi 
VARSIG5	privilegedaspect privileg aspect 
VARSIG4	javatyp type aspect 
COMMENTS	represent link itdtypedetail type detail basic link hashcod hash code detect link abstractitdmetadataprovid metadata provid avoid downstream notif constant field constructor enforc builder customdata custom data declaredbymetadataid declar metadata modifi governor type receiv introduct requir aspect requir privilegedaspect privileg aspect registeredimport regist import declaredconstructor declar constructor declaredfield declar field declaredmethod declar method extendstyp type implementstyp type typeannot type annot fieldannot field annot methodannot annot innertyp type 
VARSIG19	collect customdataaccessor custom data accessor coll 
VARSIG1	declaredbymetadataid declar metadata 
VARSIG18	javatyp type type 
VARSIG0	customdata custom data customdata custom data 
VARSIG17	javatyp type type 
VARSIG12	collect annotationmetadata annot metadata typeannot type annot 
VARSIG11	collect javatyp type implementstyp type 
VARSIG10	collect javatyp type extendstyp type 
VARSIG16	javatyp type type 
VARSIG15	collect classorinterfacetypedetail type detail innertyp type 
VARSIG14	collect declaredmethodannotationdetail declar annot detail methodannot annot 
VARSIG13	collect declaredfieldannotationdetail declar field annot detail fieldannot field annot 
MTHSIG17	getinnertyp type 
MTHSIG18	extendstyp type javatyp type type 
MTHSIG15	getfieldannot field annot 
MTHSIG16	getmethodannot annot 
MTHSIG13	getextendstyp type 
MTHSIG14	getimplementstyp type 
MTHSIG11	getdeclaredinnertyp declar type 
MTHSIG12	getdeclarediniti declar initi 
MTHSIG19	implementsani javatyp type type 
MTHSIG10	getdeclaredmethod declar method 
VARIABLES	customdata custom data declaredbymetadataid declar metadata modifi governor aspect privilegedaspect privileg aspect registeredimport regist import declaredconstructor declar constructor declaredfield declar field declaredmethod declar method extendstyp type implementstyp type typeannot type annot fieldannot field annot methodannot annot innertyp type type type type coll accessor physic type categori privilegedaspect privileg aspect governor aspect innertyp type declaredconstructor declar constructor fieldannot field annot methodannot annot declaredfield declar field extendstyp type implementstyp type declaredmethod declar method registeredimport regist import hash result tsc 
