VARSIG6	classorinterfacetypedetail type detail cid 
VARSIG3	typecont type content 
VARSIG2	javatyp type javatyp type 
VARSIG5	javatyp type javatyp type 
VARSIG4	declaredbymetadataid declar metadata 
COMMENTS	build link classorinterfacetypedetail type detail object repres request link springframework roo model javatyp type type pass type path fileidentifi file identifi locat type pars requir declaredbymetadataid declar metadata metadata return object requir javatyp type type locat compil unit pars requir pars represent request type pass compil unit build link classorinterfacetypedetail type detail object repres request link springframework roo model javatyp type pass compil unit text add wish pars arbitrari compil unit content acquir user project templat ship add add subsequ modifi return object builder eventu write version user user project eleg add usag pattern write stub compil unit user project simpli pars subsequ write typecont type content text legal compil unit requir declaredbymetadataid declar metadata metadata return object requir javatyp type type locat compil unit pars requir pars represent request type pass compil unit return compil unit content repres pass detail add requir compil unit represent doesn represent emit disk link typemanagementservic type manag servic concret time add wish emul model extern system support itd insert custom header write disk cid pars represent requir valid compil unit pass object empti 
CLASSES	typeparsingservic type pars servic 
VARSIG1	declaredbymetadataid declar metadata 
VARSIG0	fileidentifi file identifi 
METHODS	gettypeatloc type locat gettypefromstr type getcompilationunitcont compil unit content 
MTHSIG0	gettypeatloc type locat fileidentifi file identifi declaredbymetadataid declar metadata javatyp type javatyp type 
MTHSIG1	gettypefromstr type typecont type content declaredbymetadataid declar metadata javatyp type javatyp type 
PACKAGE	springframework roo classpath 
MTHSIG2	getcompilationunitcont compil unit content classorinterfacetypedetail type detail cid 
VARIABLES	fileidentifi file identifi declaredbymetadataid declar metadata javatyp type typecont type content declaredbymetadataid declar metadata javatyp type cid 
