VARSIG7	javatyp type 
VARSIG6	permitreservedword permit reserv 
VARSIG9	permitreservedword permit reserv 
VARSIG8	logicalpath logic path path 
VARSIG3	logicalpath logic path path 
VARSIG2	rooannot roo annot 
VARSIG5	createabstract creat 
VARSIG4	javatyp type superclass 
COMMENTS	classpath oper focu type type type focu requir creat sourc file project path creat rooannot roo annot gener common roo annot path sourc directori creat superclass superclass default link object createabstract creat gener mark permitreservedword permit reserv reserv roo creat sourc file project path creat path sourc directori creat permitreservedword permit reserv reserv roo creat sourc file project path creat path sourc directori creat permitreservedword permit reserv reserv roo insert constant receiv field fieldnam field constant permitreservedword permit reserv reserv roo 
VARSIG1	javatyp type 
VARSIG0	javatyp type type 
MTHSIG4	createenum creat javatyp type logicalpath logic path path permitreservedword permit reserv 
VARSIG12	permitreservedword permit reserv 
MTHSIG5	enumconst constant javatyp type javasymbolnam symbol fieldnam field permitreservedword permit reserv 
VARSIG11	logicalpath logic path path 
VARSIG10	javatyp type 
MTHSIG0	isprojectavail project 
MTHSIG1	focu javatyp type type 
VARSIG15	permitreservedword permit reserv 
PACKAGE	springframework roo classpath oper 
MTHSIG2	createclass creat javatyp type rooannot roo annot logicalpath logic path path javatyp type superclass createabstract creat permitreservedword permit reserv 
VARSIG14	javasymbolnam symbol fieldnam field 
MTHSIG3	createinterfac creat javatyp type logicalpath logic path path permitreservedword permit reserv 
VARSIG13	javatyp type 
CLASSES	classpathoper classpath oper 
METHODS	isprojectavail project focu createclass creat createinterfac creat createenum creat enumconst constant 
VARIABLES	type rooannot roo annot path superclass createabstract creat permitreservedword permit reserv path permitreservedword permit reserv path permitreservedword permit reserv fieldnam field permitreservedword permit reserv 
