MTHSIG0	setup set 
MTHSIG1	getmockcomponentcontext mock compon context rooworkingdirectori roo work directori 
PACKAGE	springframework roo project 
MTHSIG2	testgetrootofpath test root path 
MTHSIG3	testgetmodulepath test modul path 
COMMENTS	unit test link defaultpathresolvingstrategi path resolv strategi constant fixtur object test creat mock link componentcontext compon context link osgiutil util roo work directori properti rooworkingdirectori roo work directori desir properti blank mock set invok check set invok check 
CLASSES	defaultpathresolvingstrategytest path resolv strategi test 
VARIABLES	rooworkingdirectori roo work directori work directori pathresolvingstrategi path resolv strategi mockbundlecontext mock bundl context mockcomponentcontext mock compon context mockcontextualpath mock contextu path root srcmainjava src modulepath modul path modulepath modul path modulepathid modul path subpath path 
VARSIG1	rooworkingdirectori roo work directori 
VARSIG0	ioexcept except 
METHODS	setup set getmockcomponentcontext mock compon context testgetrootofpath test root path testgetmodulepath test modul path 
