VARSIG6	object 
VARSIG3	object target 
VARSIG2	 
VARSIG5	kei 
VARSIG4	remainingbuff remain buffer 
COMMENTS	execut shell command immut field constructor remainingbuff remain buffer kei invok requir target object invok requir constructor field set invok requir target object invok requir remainingbuff remain buffer blank kei blank object 
CLASSES	methodtarget target 
VARSIG1	object target 
VARSIG0	 
METHODS	methodtarget target methodtarget target equal hashcod hash code tostr getkei kei getmethod getremainingbuff remain buffer gettarget target 
MTHSIG4	tostr 
MTHSIG5	getkei kei 
MTHSIG6	getmethod 
MTHSIG7	getremainingbuff remain buffer 
MTHSIG0	methodtarget target object target 
MTHSIG1	methodtarget target object target remainingbuff remain buffer kei 
PACKAGE	springframework roo shell 
MTHSIG2	equal object 
MTHSIG3	hashcod hash code 
VARIABLES	target target remainingbuff remain buffer kei target remainingbuff remain buffer kei othermethodtarget target tsc 
MTHSIG8	gettarget target 
