VARSIG7	methodmetadata metadata 
VARSIG6	javasymbolnam symbol findernam finder 
VARSIG9	javasymbolnam symbol 
VARSIG8	javasymbolnam symbol 
VARSIG3	methodmetadata metadata entitymanagermethod entiti manag 
VARSIG2	physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
VARSIG5	javasymbolnam symbol findernam finder 
VARSIG4	sortedmap sort map javasymbolnam symbol queryhold queri holder queryhold queri holder 
COMMENTS	metadata link roojpaactiverecord roo jpa activ record finder constant field creat represent desir output obtain legal dynam finder metadata instanc subset complet empti request link roojpaactiverecord roo jpa activ record annot user type error repres request dynam finder field delet user add produc field mutat load error condit immut represent finder method return empti locat dynam finder creat demand requir request defin link roojpaactiverecord roo jpa activ record finder except thrown findernam finder dynam finder user defin gener return access paramet scan treat match authorit scan superclass caller expect scan current expect won check paramet creat declar field produc accessor entitymanag entiti manag roo 
VARSIG1	javatyp type aspectnam aspect 
VARSIG0	identifi 
MTHSIG4	getmetadataidentifertyp metadata identif type 
VARSIG12	metadataidentificationstr metadata identif 
MTHSIG5	createidentifi creat identifi javatyp type javatyp type logicalpath logic path path 
VARSIG11	logicalpath logic path path 
MTHSIG6	getjavatyp type metadataidentificationstr metadata identif 
VARSIG10	javatyp type javatyp type 
MTHSIG7	getpath path metadataidentificationstr metadata identif 
MTHSIG0	findermetadata finder metadata identifi javatyp type aspectnam aspect physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata methodmetadata metadata entitymanagermethod entiti manag sortedmap sort map javasymbolnam symbol queryhold queri holder queryhold queri holder 
MTHSIG1	getalldynamicfind dynam finder 
PACKAGE	springframework roo addon finder 
MTHSIG2	getdynamicfindermethod dynam finder javasymbolnam symbol findernam finder 
VARSIG14	metadataidentificationstr metadata identif 
MTHSIG3	tostr 
VARSIG13	metadataidentificationstr metadata identif 
MTHSIG8	isvalid valid metadataidentificationstr metadata identif 
CLASSES	findermetadata finder metadata 
METHODS	findermetadata finder metadata getalldynamicfind dynam finder getdynamicfindermethod dynam finder tostr getmetadataidentifertyp metadata identif type createidentifi creat identifi getjavatyp type getpath path isvalid valid 
VARIABLES	identifi aspectnam aspect governorphysicaltypemetadata governor physic type metadata entitymanagermethod entiti manag queryhold queri holder findernam finder findernam finder javatyp type path metadataidentificationstr metadata identif metadataidentificationstr metadata identif metadataidentificationstr metadata identif type type entitymanagermethod entiti manag queryhold queri holder dynamicfindermethod dynam finder method methodbuild builder paramet typedquerytyp type queri type queryhold queri holder jpaqueri jpa queri parametertyp paramet type parameternam paramet name bodybuild bodi builder methodnam containscollectiontyp collect type length collectiontypenam collect type name jpaquerycomplet jpa queri complet posit tsc 
