VARSIG3	existingdata exist data 
VARSIG2	except 
MTHSIG11	assertpossiblevalu valu existingdata exist data expectedcomplet expect complet complet expectedcomplet expect complet 
VARSIG5	complet expectedcomplet expect complet 
VARSIG4	expectedcomplet expect complet 
COMMENTS	unit test link gavconvert gav convert fixtur set invok check set invok check assert expect complet input existingdata exist data expectedcomplet expect complet expect convert report convers complet expectedcomplet expect complet set invok check 
CLASSES	gavconvertertest gav convert test 
VARSIG1	expectedmessag expect messag 
VARSIG0	 
METHODS	setup set testsupportsgav test support testsupportssubclassofgav test support subclass gav testdoesnotsupportobject test support object testconvertfromnul test convert testconvertfromemptystr test convert empti testconvertfromonetoofewcoordin test convert coordin testconvertfromonetoomanycoordin test convert coordin assertinvalidstr invalid testconvertfromvalidcoordin test convert valid coordin testgetallpossiblevaluesfornullinput test valu input assertpossiblevalu valu 
MTHSIG4	testconvertfromnul test convert 
MTHSIG5	testconvertfromemptystr test convert empti 
MTHSIG6	testconvertfromonetoofewcoordin test convert coordin 
MTHSIG7	testconvertfromonetoomanycoordin test convert coordin 
MTHSIG0	setup set 
MTHSIG1	testsupportsgav test support 
PACKAGE	springframework roo project convert 
MTHSIG2	testsupportssubclassofgav test support subclass gav 
MTHSIG3	testdoesnotsupportobject test support object 
MTHSIG10	testgetallpossiblevaluesfornullinput test valu input 
VARIABLES	expectedmessag expect messag existingdata exist data expectedcomplet expect complet expectedcomplet expect complet convert subclass groupid group artifactid artifact version coordin gav complet complet 
MTHSIG8	assertinvalidstr invalid expectedmessag expect messag 
MTHSIG9	testconvertfromvalidcoordin test convert valid coordin 
