MTHSIG0	getannotationtyp annot type 
MTHSIG1	getattributenam attribut name 
PACKAGE	springframework roo classpath detail annot 
MTHSIG2	getattribut attribut javasymbolnam symbol attributenam attribut 
MTHSIG3	getattribut attribut attributenam attribut 
COMMENTS	metadata annot appear member annot type attribut name prefer order declar annot empti acquir attribut request attributenam attribut request attribut return attribut attributenam attribut request attribut 
CLASSES	annotationmetadata annot metadata 
VARIABLES	attributenam attribut attributenam attribut 
VARSIG1	attributenam attribut 
VARSIG0	javasymbolnam symbol attributenam attribut 
METHODS	getannotationtyp annot type getattributenam attribut name getattribut attribut getattribut attribut 
