VARSIG7	itdfilenam filenam 
VARSIG6	physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
VARSIG9	javatyp type domaintyp domain type 
VARSIG8	javatyp type implementedtyp implement type 
VARSIG3	javatyp type type 
VARSIG2	itdtypedetail type detail itdtypedetail type detail 
VARSIG5	javatyp type aspectnam aspect 
VARSIG4	metadataidentificationstr metadata identif 
COMMENTS	link serviceclassmetadata servic metadata build implement user project project servic constant field determin governor metadata hope hear javatyp type itd metadata servic regist provid servic todo move earli domain type collect plural addit servic call layer implement servic layer linkedhashmap link hash map nest map ensur repeat order code gener collect addit support domain type collect plural domain type maintain list entiti handl layer collect addit servic order invok servic layer layer regist provid domain type plural 
VARSIG1	componentcontext compon context context 
VARSIG0	componentcontext compon context context 
MTHSIG4	getitduniquenessfilenamesuffix uniqu filenam suffix 
VARSIG12	logicalpath logic path path 
MTHSIG5	getprovidestyp type 
VARSIG11	javatyp type javatyp type 
MTHSIG6	createlocalidentifi creat local identifi javatyp type javatyp type logicalpath logic path path 
VARSIG10	servicelayermethod servic layer 
MTHSIG7	getgovernorphysicaltypeidentifi governor physic type identifi metadataidentificationstr metadata identif 
MTHSIG0	activ componentcontext compon context context 
MTHSIG1	deactiv componentcontext compon context context 
PACKAGE	springframework roo addon layer servic 
MTHSIG2	getlocalmidtorequest local mid request itdtypedetail type detail itdtypedetail type detail 
MTHSIG3	getmetadata metadata metadataidentificationstr metadata identif javatyp type aspectnam aspect physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata itdfilenam filenam 
VARSIG13	metadataidentificationstr metadata identif 
CLASSES	serviceclassmetadataprovid servic metadata provid 
METHODS	activ deactiv getlocalmidtorequest local mid request getmetadata metadata getitduniquenessfilenamesuffix uniqu filenam suffix getprovidestyp type createlocalidentifi creat local identifi getgovernorphysicaltypeidentifi governor physic type identifi 
VARIABLES	context context itdtypedetail type detail type metadataidentificationstr metadata identif aspectnam aspect governorphysicaltypemetadata governor physic type metadata itdfilenam filenam implementedtyp implement type domaintyp domain type javatyp type path metadataidentificationstr metadata identif layer posit layerservic layer servic managedentitytyp manag entiti type governor localmid local mid memberholdingtypedetail member hold type detail localmidtyp local mid type serviceclass servic serviceinterfacemetadata servic metadata potentialserviceinterfacetypedetail potenti servic type detail path implementedtypeid implement type serviceannotationvalu servic annot valu domaintyp domain type domaintypeplur domain type plural domaintypetoidtypemap domain type type map allcrudaddit crud addit idtyp type domaintypedetail domain type detail path pluralid plural pluralmetadata plural metadata methodaddit addit methodparamet paramet membertypeaddit member type addit serviceclassdetail servic detail javatyp type path 
