VARSIG7	illegalstateexcept illeg except 
VARSIG6	bundl bundl 
VARSIG3	illegalstateexcept illeg except 
VARSIG2	bundl bundl 
VARSIG5	antpathexpress ant path express 
VARSIG4	bundlecontext bundl context context 
COMMENTS	util method locat resourc osgi bundl constant search bundl context resourc context bundl search resourcenam resourc path resourc locat link bundl getentri entri foo txt find foo txt root bundl failur set entri entri search success resourc simpli set url slow unreli link osgiutil util findentriesbypath find entri path bundlecontext bundl context bundl uninstal ignor return url entri bundl url match ant style path context context bundl search antpathexpress ant path express pattern match url requir search can perform set antpathmatch ant path matcher match set url slow unreli link osgiutil util findentriesbypattern find entri pattern bundlecontext bundl context bundl uninstal ignor constructor prevent instanti 
CLASSES	urlfindingutil url find util 
VARSIG1	resourcenam resourc 
VARSIG0	bundlecontext bundl context context 
METHODS	findurl find url findmatchingclasspathresourc find match classpath resourc urlfindingutil url find util 
MTHSIG0	findurl find url bundlecontext bundl context context resourcenam resourc 
MTHSIG1	findmatchingclasspathresourc find match classpath resourc bundlecontext bundl context context antpathexpress ant path express 
PACKAGE	springframework roo support osgi 
MTHSIG2	urlfindingutil url find util 
VARIABLES	context resourcenam resourc bundl context antpathexpress ant path express bundl root path path matcher url enumer url 
