VARSIG7	object 
VARSIG6	customdatakei custom data kei kei 
VARSIG9	customdata custom data customdata custom data 
VARSIG8	fieldmetadata field metadata field 
VARSIG3	memberholdingtypedetail member hold type detail memberholdingtypedetail member hold type detail 
VARSIG2	collect memberholdingtypedetail member hold type detail memberholdingtypedetailslist member hold type detail list 
VARSIG5	tomodifi modifi 
VARSIG4	typedetailsbuild type detail builder typedetailsbuild type detail builder 
COMMENTS	builder link memberdetail member detail field field push member modifi push member mid don match propos can replac mid don match propos can replac mid don match propos can replac 
VARSIG19	customdata custom data customdata custom data 
VARSIG1	memberholdingtypedetail member hold type detail memberholdingtypedetail member hold type detail 
VARSIG18	fieldmetadata field metadata replac 
VARSIG0	memberdetail member detail memberdetail member detail 
VARSIG17	memberholdingtypedetail member hold type detail exist 
MTHSIG4	domodif modif fieldmetadata field metadata field customdata custom data customdata custom data 
VARSIG12	constructormetadata constructor metadata constructor 
MTHSIG5	domodif modif methodmetadata metadata customdata custom data customdata custom data 
VARSIG11	customdata custom data customdata custom data 
MTHSIG6	domodif modif constructormetadata constructor metadata constructor customdata custom data customdata custom data 
VARSIG10	methodmetadata metadata 
MTHSIG7	domodif modif memberholdingtypedetail member hold type detail type customdata custom data customdata custom data 
MTHSIG0	memberdetailsbuild member detail builder memberdetail member detail memberdetail member detail 
VARSIG16	memberholdingtypedetail member hold type detail memberholdingtypedetail member hold type detail 
MTHSIG1	memberdetailsbuild member detail builder collect memberholdingtypedetail member hold type detail memberholdingtypedetailslist member hold type detail list 
VARSIG15	customdata custom data customdata custom data 
PACKAGE	springframework roo classpath scanner 
MTHSIG2	build 
VARSIG14	memberholdingtypedetail member hold type detail type 
MTHSIG3	tag tomodifi modifi customdatakei custom data kei kei object 
VARSIG13	customdata custom data customdata custom data 
MTHSIG8	gettypedetailsbuild type detail builder memberholdingtypedetail member hold type detail memberholdingtypedetail member hold type detail 
VARSIG30	collect importmetadata metadata import 
CLASSES	memberdetailsbuild member detail builder 
VARSIG29	object kei 
VARSIG28	constructormetadatabuild constructor metadata builder existingconstructor exist constructor 
METHODS	memberdetailsbuild member detail builder memberdetailsbuild member detail builder build tag domodif modif domodif modif domodif modif domodif modif gettypedetailsbuild type detail builder 
VARSIG23	customdata custom data customdata custom data 
VARSIG22	methodmetadata metadata replac 
VARSIG21	object kei 
VARSIG20	fieldmetadatabuild field metadata builder existingfield exist field 
VARSIG27	customdata custom data customdata custom data 
VARSIG26	constructormetadata constructor metadata replac 
VARSIG25	object kei 
VARSIG24	methodmetadatabuild metadata builder existingmethod exist 
VARIABLES	memberdetail member detail memberholdingtypedetail member hold type detail memberholdingtypedetailslist member hold type detail list memberholdingtypedetail member hold type detail typedetailsbuild type detail builder tomodifi modifi kei field customdata custom data customdata custom data constructor customdata custom data type customdata custom data memberholdingtypedetail member hold type detail exist replac customdata custom data existingfield exist field kei replac customdata custom data existingmethod exist kei replac customdata custom data existingconstructor exist constructor kei import memberholdingtypedetailsmap member hold type detail map typedetailsbuildermap type detail builder map originalmemberdetail origin member detail chang customdatabuild custom data builder customdatabuild custom data builder customdatabuild custom data builder customdatabuild custom data builder memberholdingtypedetail member hold type detail matchedfield match field typedetailsbuild type detail builder memberholdingtypedetail member hold type detail matchedmethod match typedetailsbuild type detail builder memberholdingtypedetail member hold type detail matchedconstructor match constructor typedetailsbuild type detail builder memberholdingtypedetail member hold type detail typedetailsbuild type detail builder typedetailsbuild type detail builder exist itdbuild builder cidbuild cid builder 
