VARSIG6	object 
VARSIG3	metadataidentificationstr metadata identif 
VARSIG2	metadataidentificationstr metadata identif 
VARSIG5	proxytypecont proxi type content 
VARSIG4	 
COMMENTS	constant field 
CLASSES	gwtlocatormetadata gwt locat metadata 
VARSIG1	logicalpath logic path path 
VARSIG0	javatyp type javatyp type 
METHODS	getmetadataidentifiertyp metadata identifi type createidentifi creat identifi getjavatyp type getpath path gwtlocatormetadata gwt locat metadata equal hashcod hash code 
MTHSIG4	gwtlocatormetadata gwt locat metadata proxytypecont proxi type content 
MTHSIG5	equal object 
MTHSIG6	hashcod hash code 
MTHSIG0	getmetadataidentifiertyp metadata identifi type 
MTHSIG1	createidentifi creat identifi javatyp type javatyp type logicalpath logic path path 
PACKAGE	springframework roo addon gwt locat 
MTHSIG2	getjavatyp type metadataidentificationstr metadata identif 
MTHSIG3	getpath path metadataidentificationstr metadata identif 
VARIABLES	javatyp type path metadataidentificationstr metadata identif metadataidentificationstr metadata identif proxytypecont proxi type content type type proxytypecont proxi type content 
