MTHSIG0	activ componentcontext compon context componentcontext compon context 
VARSIG3	shellstatu shell statu newstatu statu 
MTHSIG1	deactiv componentcontext compon context componentcontext compon context 
VARSIG2	shellstatu shell statu oldstatu statu 
PACKAGE	springframework roo uaa 
MTHSIG2	onshellstatuschang shell statu chang shellstatu shell statu oldstatu statu shellstatu shell statu newstatu statu 
COMMENTS	startup time remind uaa statu command user hasn uaa term accept reject separ link shellstatuslisten shell statu listen uaa modul lifecycl time reason minim depend scr compon field prevent thread appear jline consol text file space overwrit roo prompt current 
CLASSES	uaashellstatuslisten uaa shell statu listen 
VARIABLES	componentcontext compon context componentcontext compon context oldstatu statu newstatu statu uaaservic uaa servic shell startupmessageconsid startup messag consid originalthreadnam origin thread 
VARSIG1	componentcontext compon context componentcontext compon context 
VARSIG0	componentcontext compon context componentcontext compon context 
METHODS	activ deactiv onshellstatuschang shell statu chang 
