VARSIG6	object obj 
VARSIG3	metadataidentificationstr metadata identif 
VARSIG2	metadataidentificationstr metadata identif 
VARSIG5	requesttypecont request type content 
VARSIG4	 
COMMENTS	constant field constructor link springframework roo metadata metadataitem metadata item requesttypecont request type content sourc code entiti specif request requir 
CLASSES	gwtrequestmetadata gwt request metadata 
VARSIG1	logicalpath logic path path 
VARSIG0	javatyp type javatyp type 
METHODS	getmetadataidentifiertyp metadata identifi type createidentifi creat identifi getjavatyp type getpath path gwtrequestmetadata gwt request metadata equal hashcod hash code 
MTHSIG4	gwtrequestmetadata gwt request metadata requesttypecont request type content 
MTHSIG5	equal object obj 
MTHSIG6	hashcod hash code 
MTHSIG0	getmetadataidentifiertyp metadata identifi type 
MTHSIG1	createidentifi creat identifi javatyp type javatyp type logicalpath logic path path 
PACKAGE	springframework roo addon gwt request 
MTHSIG2	getjavatyp type metadataidentificationstr metadata identif 
MTHSIG3	getpath path metadataidentificationstr metadata identif 
VARIABLES	javatyp type path metadataidentificationstr metadata identif metadataidentificationstr metadata identif requesttypecont request type content obj type type requesttypecont request type content 
