VARSIG7	fieldmetadata field metadata field 
VARSIG6	fieldmetadata field metadata field 
VARSIG9	javasymbolnam symbol attributenam attribut 
VARSIG8	fieldmetadata field metadata field 
VARSIG3	collect annotationmetadata annot metadata annot 
VARSIG2	customdatakei custom data kei fieldmetadata field metadata customdatakei custom data kei 
VARSIG5	memberholdingtypedetail member hold type detail memberholdingtypedetail member hold type detail 
VARSIG4	list memberholdingtypedetail member hold type detail memberholdingtypedetailslist member hold type detail list 
COMMENTS	link matcher link fieldmetadata field metadata match presenc list annot constant field constructor match annot customdatakei custom data kei custom data kei indic type field requir annot annot match constructor match annot customdatakei custom data kei custom data kei indic type field requir annot annot match return annot field match matcher matcher target annot field field annot check requir 
VARSIG1	annotationmetadata annot metadata annot 
VARSIG0	customdatakei custom data kei fieldmetadata field metadata customdatakei custom data kei 
MTHSIG4	getattributemap attribut map fieldmetadata field metadata field 
VARSIG12	annotationmetadata annot metadata matchingannot match annot 
MTHSIG5	getmatchingannot match annot fieldmetadata field metadata field 
VARSIG11	annotationmetadata annot metadata fieldannot field annot 
MTHSIG6	getcustomdatakei custom data kei 
VARSIG10	fieldmetadata field metadata field 
MTHSIG0	fieldmatch field matcher customdatakei custom data kei fieldmetadata field metadata customdatakei custom data kei annotationmetadata annot metadata annot 
MTHSIG1	fieldmatch field matcher customdatakei custom data kei fieldmetadata field metadata customdatakei custom data kei collect annotationmetadata annot metadata annot 
PACKAGE	springframework roo classpath customdata tagger 
MTHSIG2	match list memberholdingtypedetail member hold type detail memberholdingtypedetailslist member hold type detail list 
MTHSIG3	gettagvalu tag fieldmetadata field metadata field 
CLASSES	fieldmatch field matcher 
METHODS	fieldmatch field matcher fieldmatch field matcher match gettagvalu tag getattributemap attribut map getmatchingannot match annot getcustomdatakei custom data kei 
VARIABLES	customdatakei custom data kei annot customdatakei custom data kei annot memberholdingtypedetailslist member hold type detail list memberholdingtypedetail member hold type detail field field field attributenam attribut field fieldannot field annot matchingannot match annot jpa column jpa embed jpa embed jpa enumer jpa jpa lob jpa jpa jpa jpa jpa jpa version customdatakei custom data kei annot field map annotationmetadata annot metadata 
