VARSIG7	metadataidentificationstr metadata identif 
VARSIG6	metadataidentificationstr metadata identif 
VARSIG3	javatyp type javatyp type 
VARSIG2	physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
VARSIG5	metadataidentificationstr metadata identif 
VARSIG4	logicalpath logic path path 
COMMENTS	metadata link rooconfigur roo configur constant creat represent desir output add springframework bean factori annot configur annot type exist annot exist creat creat requir 
CLASSES	configurablemetadata configur metadata 
VARSIG1	javatyp type aspectnam aspect 
VARSIG0	identifi 
METHODS	configurablemetadata configur metadata getconfigurableannot configur annot tostr getmetadataidentifertyp metadata identif type createidentifi creat identifi getjavatyp type getpath path isvalid valid 
MTHSIG4	createidentifi creat identifi javatyp type javatyp type logicalpath logic path path 
MTHSIG5	getjavatyp type metadataidentificationstr metadata identif 
MTHSIG6	getpath path metadataidentificationstr metadata identif 
MTHSIG7	isvalid valid metadataidentificationstr metadata identif 
MTHSIG0	configurablemetadata configur metadata identifi javatyp type aspectnam aspect physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
MTHSIG1	getconfigurableannot configur annot 
PACKAGE	springframework roo addon configur 
MTHSIG2	tostr 
MTHSIG3	getmetadataidentifertyp metadata identif type 
VARIABLES	identifi aspectnam aspect governorphysicaltypemetadata governor physic type metadata javatyp type path metadataidentificationstr metadata identif metadataidentificationstr metadata identif metadataidentificationstr metadata identif type type tsc 
