VARSIG7	itdfilenam filenam 
VARSIG6	physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
VARSIG9	metadataidentificationstr metadata identif 
VARSIG8	javatyp type entiti 
VARSIG3	javatyp type type 
VARSIG2	itdtypedetail type detail itdtypedetail type detail 
VARSIG5	javatyp type aspectnam aspect 
VARSIG4	metadataidentificationstr metadata identif 
COMMENTS	implement link jsfconvertermetadataprovid jsf convert metadata provid constant field determin governor metadata hope hear javatyp type itd pars annot expect rememb entiti javatyp type match metadata identif start clear previou associ 
VARSIG1	componentcontext compon context context 
VARSIG0	componentcontext compon context context 
MTHSIG4	getfindmethod find javatyp type entiti metadataidentificationstr metadata identif 
VARSIG12	logicalpath logic path path 
MTHSIG5	getitduniquenessfilenamesuffix uniqu filenam suffix 
VARSIG11	javatyp type javatyp type 
MTHSIG6	getgovernorphysicaltypeidentifi governor physic type identifi metadataidentificationstr metadata identif 
VARSIG10	metadataidentificationstr metadata identif 
MTHSIG7	createlocalidentifi creat local identifi javatyp type javatyp type logicalpath logic path path 
MTHSIG0	activ componentcontext compon context context 
MTHSIG1	deactiv componentcontext compon context context 
PACKAGE	springframework roo addon jsf convert 
MTHSIG2	getlocalmidtorequest local mid request itdtypedetail type detail itdtypedetail type detail 
MTHSIG3	getmetadata metadata metadataidentificationstr metadata identif javatyp type aspectnam aspect physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata itdfilenam filenam 
MTHSIG8	getprovidestyp type 
CLASSES	jsfconvertermetadataproviderimpl jsf convert metadata provid impl 
METHODS	activ deactiv getlocalmidtorequest local mid request getmetadata metadata getfindmethod find getitduniquenessfilenamesuffix uniqu filenam suffix getgovernorphysicaltypeidentifi governor physic type identifi createlocalidentifi creat local identifi getprovidestyp type 
VARIABLES	context context itdtypedetail type detail type metadataidentificationstr metadata identif aspectnam aspect governorphysicaltypemetadata governor physic type metadata itdfilenam filenam entiti metadataidentificationstr metadata identif metadataidentificationstr metadata identif javatyp type path layer posit configurablemetadataprovid configur metadata provid layerservic layer servic entitytoconvertermidmap entiti convert mid map convertermidtoentitymap convert mid entiti map governor localmid local mid memberholdingtypedetail member hold type detail localmidtyp local mid type annotationvalu annot valu entiti oldent entiti findmethod find identifieraccessor identifi accessor idfield field idfield field idtyp type idparamet paramet javatyp type path 
