VARSIG7	javasymbolnam symbol menucategorynam menu categori 
VARSIG6	logicalpath logic path logicalpath logic path 
VARSIG9	globalmessagecod global messag code 
VARSIG8	javasymbolnam symbol menuitemid menu item 
VARSIG3	globalmessagecod global messag code 
VARSIG2	menuitemlabel menu item label 
VARSIG5	idprefix prefix 
VARSIG4	link 
COMMENTS	link menuoper menu oper addit menu categori menu item categori menu item identifi exist overwritten replac addon determin categori menu item identifi clash addon menucategorynam menu categori identifi menu categori requir menuitemid menu item menu item identifi requir menuitemlabel menu item label globalmessagecod global messag code messag code menu item requir link menu item link requir idprefix prefix prefix menu item option menuoper menu oper menu item prefix logicalpath logic path addit menu categori menu item categori menu item identifi exist overwritten replac addon determin categori menu item identifi clash addon write messag code caller manag properti allow effici recommend categori identifi name convent menu categori label intent repres identifi diffenti categori addon recommend menu item identifi name convent menu item categori label menucategorynam menu categori menuitemid menu item globalmessagecod global messag code link idprefix prefix logicalpath logic path attempt locat unus finder menu item remov menucategorynam menu categori identifi menu categori requir allowedfindermenuid allow finder menu id finder menu id instal logicalpath logic path attempt locat menu item remov menucategorynam menu categori identifi menu categori requir menuitemnam menu item menu item identifi requir idprefix prefix prefix menu item option menuoper menu oper menu item prefix logicalpath logic path 
VARSIG19	logicalpath logic path logicalpath logic path 
VARSIG1	javasymbolnam symbol menuitemid menu item 
VARSIG18	idprefix prefix 
VARSIG0	javasymbolnam symbol menucategorynam menu categori 
VARSIG17	javasymbolnam symbol menuitemnam menu item 
VARSIG12	logicalpath logic path logicalpath logic path 
VARSIG11	idprefix prefix 
VARSIG10	link 
MTHSIG0	addmenuitem add menu item javasymbolnam symbol menucategorynam menu categori javasymbolnam symbol menuitemid menu item menuitemlabel menu item label globalmessagecod global messag code link idprefix prefix logicalpath logic path logicalpath logic path 
VARSIG16	javasymbolnam symbol menucategorynam menu categori 
MTHSIG1	addmenuitem add menu item javasymbolnam symbol menucategorynam menu categori javasymbolnam symbol menuitemid menu item globalmessagecod global messag code link idprefix prefix logicalpath logic path logicalpath logic path 
VARSIG15	logicalpath logic path logicalpath logic path 
PACKAGE	springframework roo addon web mvc jsp menu 
MTHSIG2	cleanupfindermenuitem clean finder menu item javasymbolnam symbol menucategorynam menu categori list allowedfindermenuid allow finder menu id logicalpath logic path logicalpath logic path 
VARSIG14	list allowedfindermenuid allow finder menu id 
MTHSIG3	cleanupmenuitem clean menu item javasymbolnam symbol menucategorynam menu categori javasymbolnam symbol menuitemnam menu item idprefix prefix logicalpath logic path logicalpath logic path 
VARSIG13	javasymbolnam symbol menucategorynam menu categori 
CLASSES	menuoper menu oper 
METHODS	addmenuitem add menu item addmenuitem add menu item cleanupfindermenuitem clean finder menu item cleanupmenuitem clean menu item 
VARIABLES	menucategorynam menu categori menuitemid menu item menuitemlabel menu item label globalmessagecod global messag code link idprefix prefix logicalpath logic path menucategorynam menu categori menuitemid menu item globalmessagecod global messag code link idprefix prefix logicalpath logic path menucategorynam menu categori allowedfindermenuid allow finder menu id logicalpath logic path menucategorynam menu categori menuitemnam menu item idprefix prefix logicalpath logic path menu item prefix finder menu item prefix 
