VARSIG3	set disallowedoper disallow oper 
VARSIG2	javatyp type entiti 
VARSIG4	path 
COMMENTS	control configur oper creat spring mvc control jpa entiti project javapackag control scaffold creat spring mvc control automat scaffold request map assign commenc 
CLASSES	controlleroper control oper 
VARSIG1	javatyp type control 
VARSIG0	javapackag javapackag 
METHODS	iscontrollerinstallationposs control instal generateal gener setup isnewcontrolleravail control createautomaticcontrol creat automat control 
MTHSIG4	createautomaticcontrol creat automat control javatyp type control javatyp type entiti set disallowedoper disallow oper path 
MTHSIG0	iscontrollerinstallationposs control instal 
MTHSIG1	generateal gener javapackag javapackag 
PACKAGE	springframework roo addon web mvc control 
MTHSIG2	setup 
MTHSIG3	isnewcontrolleravail control 
VARIABLES	javapackag control entiti disallowedoper disallow oper path 
