VARSIG7	element dependencyel depend element 
VARSIG6	modulenam modul 
VARSIG3	modulenam modul 
VARSIG2	element configur 
VARSIG5	element configur 
VARSIG4	element properti 
COMMENTS	secur instal servic constant field permit instal web project roo permit instal don version spring secur instal pars configur xml file add pom properti add depend pom copi templat copi templat includ view control handler webmvc config xml 
CLASSES	securityoperationsimpl secur oper impl 
VARSIG1	ioexcept except ioe 
VARSIG0	ioexcept except ioe 
METHODS	issecurityinstallationposs secur instal installsecur instal secur updatepomproperti updat pom properti updatedepend updat depend 
MTHSIG0	issecurityinstallationposs secur instal 
MTHSIG1	installsecur instal secur 
PACKAGE	springframework roo addon secur 
MTHSIG2	updatepomproperti updat pom properti element configur modulenam modul 
MTHSIG3	updatedepend updat depend element configur modulenam modul 
VARIABLES	ioe ioe configur modulenam modul properti configur modulenam modul dependencyel depend element secur version filemanag file manag pathresolv path resolv projectoper project oper tilesoper tile oper configur destin loginpag login webxmlpath web xml path webxmldocu web xml document webconfigpath web config path webconfigdocu web config document webconfig web config viewcontrol view control databaseproperti databas properti depend securitydepend secur depend 
