VARSIG7	declaredbymetadataid declar metadata 
VARSIG6	javasymbolnam symbol fieldnam field 
VARSIG9	javatyp type targettyp target type 
VARSIG8	asynchron 
VARSIG3	javatyp type targettyp target type 
VARSIG2	jmsdestinationtyp jm destin type destinationtyp destin type 
VARSIG5	asynchron 
VARSIG4	javasymbolnam symbol fieldnam field 
COMMENTS	jm configur oper field creat field creat creat inject send jm messag fieldnam field declaredbymetadataid declar metadata asynchron jm messag asynchron builder ensur spring config file element properti support asynchron task creat content peopl start determin canon filenam check file doesn exist destin configur add 
VARSIG1	 
VARSIG0	jmsprovid jm provid jmsprovid jm provid 
VARSIG17	physicaltypeidentifi physic type identifi 
MTHSIG4	injectjmstempl inject jm templat javatyp type targettyp target type javasymbolnam symbol fieldnam field asynchron 
VARSIG12	jmsprovid jm provid jmsprovid jm provid 
MTHSIG5	createsendmessagemethod creat send messag javasymbolnam symbol fieldnam field declaredbymetadataid declar metadata asynchron 
VARSIG11	jmsdestinationtyp jm destin type destinationtyp destin type 
MTHSIG6	ensurespringasynchronoussupporten ensur spring asynchron support enabl 
VARSIG10	 
MTHSIG7	addjmslisten add jm listen javatyp type targettyp target type jmsdestinationtyp jm destin type destinationtyp destin type 
MTHSIG0	isjmsinstallationposs jm instal 
VARSIG16	 
MTHSIG1	ismanagejmsavail manag jm 
VARSIG15	document appctx app ctx 
PACKAGE	springframework roo addon jm 
MTHSIG2	hasjmscontext jm context 
VARSIG14	element dependencyel depend element 
MTHSIG3	installjm instal jm jmsprovid jm provid jmsprovid jm provid jmsdestinationtyp jm destin type destinationtyp destin type 
VARSIG13	element dependencyel depend element 
MTHSIG8	updateconfigur updat configur jmsprovid jm provid jmsprovid jm provid 
MTHSIG9	adddefaultdestin add destin document appctx app ctx 
CLASSES	jmsoperationsimpl jm oper impl 
METHODS	isjmsinstallationposs jm instal ismanagejmsavail manag jm hasjmscontext jm context installjm instal jm injectjmstempl inject jm templat createsendmessagemethod creat send messag ensurespringasynchronoussupporten ensur spring asynchron support enabl addjmslisten add jm listen updateconfigur updat configur adddefaultdestin add destin getphysicallocationcanonicalpath physic locat canon path 
MTHSIG10	getphysicallocationcanonicalpath physic locat canon path physicaltypeidentifi physic type identifi 
VARIABLES	jmsprovid jm provid destinationtyp destin type targettyp target type fieldnam field asynchron fieldnam field declaredbymetadataid declar metadata asynchron targettyp target type destinationtyp destin type jmsprovid jm provid dependencyel depend element dependencyel depend element appctx app ctx physicaltypeidentifi physic type identifi filemanag file manag projectoper project oper propfileoper prop file oper typelocationservic type locat servic typemanagementservic type manag servic jmscontextpath jm context path document root destin listenercontain listen contain targettypedetail target type detail declaredbymetadataid declar metadata cidbuild cid builder parametertyp paramet type parameternam paramet name bodybuild bodi builder methodbuild builder contextpath context path appcontext app context root declaredbymetadataid declar metadata method parametertyp paramet type parameternam paramet name bodybuild bodi builder cidbuild cid builder physicallocationcanonicalpath physic locat canon path jmscontextpath jm context path document root listenercontain listen contain jmslisten jm listen bean configur depend springdepend spring depend jmsdepend jm depend root jmstemplat jm templat defaultdestin destin javatyp type path 
