VARSIG2	sourceclassnam sourc 
COMMENTS	wrap link outputstream output stream automat pass link logger link outputstream output stream flush link outputstream output stream close call constant field constructor level level log requir 
CLASSES	loggingoutputstream log output stream 
VARSIG1	 
VARSIG0	level level 
METHODS	loggingoutputstream log output stream write flush close getsourceclassnam sourc setsourceclassnam set sourc 
MTHSIG4	getsourceclassnam sourc 
MTHSIG5	setsourceclassnam set sourc sourceclassnam sourc 
MTHSIG0	loggingoutputstream log output stream level level 
MTHSIG1	write 
PACKAGE	springframework roo support log 
MTHSIG2	flush 
MTHSIG3	close 
VARIABLES	level sourceclassnam sourc logger level sourceclassnam sourc count bao msg record 
