VARSIG7	methodnam 
VARSIG6	callermid caller mid 
VARSIG9	list methodparamet paramet paramet 
VARSIG8	javatyp type serviceinterfac servic 
VARSIG3	javatyp type idtyp type 
VARSIG2	javatyp type targetent target entiti 
VARSIG5	classorinterfacetypedetail type detail serviceinterfac servic 
VARSIG4	methodparamet paramet methodparamet paramet 
COMMENTS	link springframework roo classpath layer layerprovid layer provid applic applic servic layer field check servic layer check entiti plural form loop servic interfac claim support target entiti valu rooservic roo servic annot servic check implement servic servic addit caller addit servic entiti provid return addit caller order invok domain entiti callermid caller mid caller caller metadata requir methodnam invok requir serviceinterfac servic domain servic type requir parameternam paramet name name paramet pass caller set addit support servic builder add autowir field type servic gener addit object includ call setter unit test 
CLASSES	servicelayerprovid servic layer provid 
VARSIG1	methodidentifi identifi 
VARSIG0	callermid caller mid 
METHODS	getmembertypeaddit member type addit getmethodaddit addit getlayerposit layer posit setmetadataservic set metadata servic setserviceannotationvaluesfactori set servic annot valu factori setserviceinterfaceloc set servic locat 
MTHSIG4	setserviceannotationvaluesfactori set servic annot valu factori serviceannotationvaluesfactori servic annot valu factori serviceannotationvaluesfactori servic annot valu factori 
VARSIG12	serviceinterfaceloc servic locat serviceinterfaceloc servic locat 
MTHSIG5	setserviceinterfaceloc set servic locat serviceinterfaceloc servic locat serviceinterfaceloc servic locat 
VARSIG11	serviceannotationvaluesfactori servic annot valu factori serviceannotationvaluesfactori servic annot valu factori 
VARSIG10	metadataservic metadata servic metadataservic metadata servic 
MTHSIG0	getmembertypeaddit member type addit callermid caller mid methodidentifi identifi javatyp type targetent target entiti javatyp type idtyp type methodparamet paramet methodparamet paramet 
MTHSIG1	getmethodaddit addit callermid caller mid methodnam javatyp type serviceinterfac servic list methodparamet paramet paramet 
PACKAGE	springframework roo addon layer servic 
MTHSIG2	getlayerposit layer posit 
MTHSIG3	setmetadataservic set metadata servic metadataservic metadata servic metadataservic metadata servic 
VARIABLES	callermid caller mid methodidentifi identifi targetent target entiti idtyp type methodparamet paramet serviceinterfac servic callermid caller mid methodnam serviceinterfac servic paramet metadataservic metadata servic serviceannotationvaluesfactori servic annot valu factori serviceinterfaceloc servic locat metadataservic metadata servic serviceannotationvaluesfactori servic annot valu factori serviceinterfaceloc servic locat typelocationservic type locat servic parametertyp paramet type pluralid plural pluralmetadata plural metadata annotationvalu annot valu methodnam methodaddit addit cidbuild cid builder fieldnam field 
