MTHSIG4	isincludeonmenu includ menu 
MTHSIG0	jsfmanagedbeanannotationvalu jsf manag bean annot valu physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
MTHSIG1	jsfmanagedbeanannotationvalu jsf manag bean annot valu classorinterfacetypedetail type detail governorphysicaltypedetail governor physic type detail 
PACKAGE	springframework roo addon jsf managedbean 
MTHSIG2	getent entiti 
MTHSIG3	getbeannam bean 
COMMENTS	repres pars link roojsfmanagedbean roo jsf manag bean annot annot 
CLASSES	jsfmanagedbeanannotationvalu jsf manag bean annot valu 
VARIABLES	governorphysicaltypemetadata governor physic type metadata governorphysicaltypedetail governor physic type detail entiti beannam bean includeonmenu includ menu 
VARSIG1	classorinterfacetypedetail type detail governorphysicaltypedetail governor physic type detail 
VARSIG0	physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
METHODS	jsfmanagedbeanannotationvalu jsf manag bean annot valu jsfmanagedbeanannotationvalu jsf manag bean annot valu getent entiti getbeannam bean isincludeonmenu includ menu 
