VARSIG3	gav parentpom parent pom 
VARSIG2	javavers version 
VARSIG5	projectoper project oper projectoper project oper 
VARSIG4	modul 
COMMENTS	link packagingprovid packag provid creat osgi bundl creat creator addon 
CLASSES	bundlepackag bundl packag 
VARSIG1	nullableprojectnam nullabl project 
VARSIG0	javapackag toplevelpackag top level 
METHODS	createartifact creat artifact getid getpath path isdefault 
MTHSIG0	createartifact creat artifact javapackag toplevelpackag top level nullableprojectnam nullabl project javavers version gav parentpom parent pom modul projectoper project oper projectoper project oper 
MTHSIG1	getid 
PACKAGE	springframework roo project packag 
MTHSIG2	getpath path 
MTHSIG3	isdefault 
VARIABLES	toplevelpackag top level nullableprojectnam nullabl project javavers version parentpom parent pom modul projectoper project oper 
