VARSIG2	addonbundlesymbolicnam add bundl symbol 
COMMENTS	displai addon symbol command complet chang field ensur getkei kei return uniqu 
CLASSES	addonbundlesymbolicnam add bundl symbol 
VARSIG1	object obj 
VARSIG0	kei 
METHODS	addonbundlesymbolicnam add bundl symbol hashcod hash code equal compareto compar getkei kei tostr 
MTHSIG4	getkei kei 
MTHSIG5	tostr 
MTHSIG0	addonbundlesymbolicnam add bundl symbol kei 
MTHSIG1	hashcod hash code 
PACKAGE	springframework roo addon roobot client 
MTHSIG2	equal object obj 
MTHSIG3	compareto compar addonbundlesymbolicnam add bundl symbol 
VARIABLES	kei obj kei tsc 
