VARSIG7	ioexcept except ioe 
VARSIG6	reason 
VARSIG9	ioexcept except ioe 
VARSIG8	throwabl 
VARSIG3	undomanag undo manag undomanag undo manag 
VARSIG2	file actual 
VARSIG5	file actual 
VARSIG4	filenameresolv filenam resolv filenameresolv filenam resolv 
COMMENTS	link undoableoper undoabl oper delet file constant field constructor doesn reason undomanag undo manag filenameresolv filenam resolv actual file delet exist file directori constructor reason constructor reason undomanag undo manag filenameresolv filenam resolv actual file delet exist file directori reason reason file file delet blank roo 
CLASSES	deletefil delet file 
VARSIG1	filenameresolv filenam resolv filenameresolv filenam resolv 
VARSIG0	undomanag undo manag undomanag undo manag 
METHODS	deletefil delet file deletefil delet file reset undo 
MTHSIG0	deletefil delet file undomanag undo manag undomanag undo manag filenameresolv filenam resolv filenameresolv filenam resolv file actual 
MTHSIG1	deletefil delet file undomanag undo manag undomanag undo manag filenameresolv filenam resolv filenameresolv filenam resolv file actual reason 
PACKAGE	springframework roo file undo 
MTHSIG2	reset 
MTHSIG3	undo 
VARIABLES	undomanag undo manag filenameresolv filenam resolv actual undomanag undo manag filenameresolv filenam resolv actual reason ioe ioe logger actual backup filenameresolv filenam resolv deletionmessag delet messag 
