MTHSIG4	testloginwithblankpasswordandnostoredpassword test login blank password store password 
MTHSIG5	testloginwithblankpasswordandstoredpassword test login blank password store password 
MTHSIG0	setup set 
MTHSIG1	testloginwithnonblankemailnonblankpasswordandcustomurl test login blank email blank password custom url 
PACKAGE	springframework roo addon cloud foundri 
MTHSIG2	testloginwithblankemailandnostoredemail test login blank email store email 
MTHSIG3	testloginwithblankemailandstoredemail test login blank email store email 
COMMENTS	unit test link cloudfoundrysessionimpl cloud foundri session impl constant fixtur set invok check set invok check set invok check set invok check set invok check 
CLASSES	cloudfoundrysessionimpltest cloud foundri session impl test 
VARIABLES	custom cloud url email password session mockappcloudclientfactori mock app cloud client factori mockprefer mock prefer credenti mockclient mock client mockclient mock client credenti mockclient mock client mockclient mock client credenti mockclient mock client 
METHODS	setup set testloginwithnonblankemailnonblankpasswordandcustomurl test login blank email blank password custom url testloginwithblankemailandnostoredemail test login blank email store email testloginwithblankemailandstoredemail test login blank email store email testloginwithblankpasswordandnostoredpassword test login blank password store password testloginwithblankpasswordandstoredpassword test login blank password store password 
