VARSIG3	mailprotocol mail protocol 
VARSIG2	object obj 
COMMENTS	protocol email add constant field 
CLASSES	mailprotocol mail protocol 
VARSIG1	protocol 
VARSIG0	protocollabel protocol label 
METHODS	mailprotocol mail protocol getprotocol protocol equal hashcod hash code compareto compar tostr getkei kei 
MTHSIG4	compareto compar mailprotocol mail protocol 
MTHSIG5	tostr 
MTHSIG6	getkei kei 
MTHSIG0	mailprotocol mail protocol protocollabel protocol label protocol 
MTHSIG1	getprotocol protocol 
PACKAGE	springframework roo addon email 
MTHSIG2	equal object obj 
MTHSIG3	hashcod hash code 
VARIABLES	protocollabel protocol label protocol obj smtp pop pop imap protocollabel protocol label protocol prime result result tsc 
