VARSIG3	collect 
VARSIG2	map entri 
VARSIG5	object arrai 
VARSIG4	collect 
COMMENTS	convert object form gener debug purpos spring spring tostr style convent reflect visitor pattern hood nice encapsul style algorithm type style object 
CLASSES	defaultvaluestyl styler 
VARSIG1	map 
VARSIG0	object 
METHODS	style style style style getcollectiontypestr collect type stylearrai style arrai 
MTHSIG4	getcollectiontypestr collect type collect 
MTHSIG5	stylearrai style arrai object arrai 
MTHSIG0	style object 
MTHSIG1	style map 
PACKAGE	springframework roo support style 
MTHSIG2	style map entri 
MTHSIG3	style collect 
VARIABLES	arrai empti collect set list map arrai result entri result result 
