MTHSIG28	build 
MTHSIG26	getattribut attribut 
MTHSIG27	setattribut set attribut collect annotationattributevalu annot attribut attributevalu attribut valu 
MTHSIG24	getannotationtyp annot type 
MTHSIG25	setannotationtyp set annot type javatyp type annotationtyp annot type 
MTHSIG22	addattribut add attribut annotationattributevalu annot attribut 
MTHSIG23	removeattribut remov attribut kei 
VARSIG39	 
MTHSIG4	annotationmetadatabuild annot metadata builder 
VARSIG34	kei 
MTHSIG5	annotationmetadatabuild annot metadata builder annotationmetadata annot metadata exist 
VARSIG33	enumdetail detail detail 
MTHSIG6	annotationmetadatabuild annot metadata builder annotationtyp annot type 
VARSIG32	kei 
MTHSIG7	annotationmetadatabuild annot metadata builder annotationtyp annot type 
VARSIG31	javasymbolnam symbol enumconst constant 
MTHSIG0	getinst instanc annotationtyp annot type 
VARSIG38	kei 
MTHSIG1	getinst instanc javatyp type annotationtyp annot type 
VARSIG37	 
PACKAGE	springframework roo classpath detail annot 
MTHSIG2	getinst instanc javatyp type annotationtyp annot type collect annotationattributevalu annot attribut attributevalu attribut valu 
VARSIG36	kei 
MTHSIG3	getinst instanc annotationtyp annot type 
VARSIG35	 
MTHSIG20	addlongattribut add attribut kei 
MTHSIG21	addstringattribut add attribut kei 
MTHSIG8	annotationmetadatabuild annot metadata builder javatyp type annotationtyp annot type 
VARSIG30	javatyp type javatyp type 
MTHSIG9	annotationmetadatabuild annot metadata builder javatyp type annotationtyp annot type collect annotationattributevalu annot attribut attributevalu attribut valu 
CLASSES	annotationmetadatabuild annot metadata builder 
VARSIG29	kei 
VARSIG28	enumconst constant 
METHODS	getinst instanc getinst instanc getinst instanc getinst instanc annotationmetadatabuild annot metadata builder annotationmetadatabuild annot metadata builder annotationmetadatabuild annot metadata builder annotationmetadatabuild annot metadata builder annotationmetadatabuild annot metadata builder annotationmetadatabuild annot metadata builder addbooleanattribut add attribut addcharattribut add attribut addclassattribut add attribut addclassattribut add attribut adddoubleattribut add attribut addenumattribut add attribut addenumattribut add attribut addenumattribut add attribut addenumattribut add attribut addintegerattribut add integ attribut addlongattribut add attribut addstringattribut add attribut addattribut add attribut removeattribut remov attribut getannotationtyp annot type setannotationtyp set annot type getattribut attribut setattribut set attribut build 
VARSIG23	kei 
VARSIG22	floatingprecisiononli float precis 
VARSIG21	 
VARSIG20	kei 
VARSIG27	javatyp type javatyp type 
VARSIG26	kei 
VARSIG25	enumconst constant 
VARSIG24	fullyqualifiedtypenam fulli qualifi type 
VARSIG7	annotationtyp annot type 
VARSIG6	javasymbolnam symbol attributenam attribut 
VARSIG9	javatyp type annotationtyp annot type 
VARSIG8	annotationtyp annot type 
