MTHSIG22	tostr 
MTHSIG4	getmodulenam modul 
MTHSIG5	setmodulenam set modul modulenam modul 
MTHSIG6	getdestinationpackag destin 
MTHSIG7	setdestinationpackag set destin javapackag destinationpackag destin 
MTHSIG0	databas set tabl tabl 
MTHSIG1	gettabl tabl 
PACKAGE	springframework roo addon dbre model 
MTHSIG2	hastabl tabl 
MTHSIG3	gettabl tabl schemanam schema 
MTHSIG20	hashcod hash code 
MTHSIG21	equal object obj 
MTHSIG8	isactiverecord activ record 
MTHSIG9	setactiverecord set activ record activerecord activ record 
CLASSES	databas 
METHODS	databas gettabl tabl hastabl tabl gettabl tabl getmodulenam modul setmodulenam set modul getdestinationpackag destin setdestinationpackag set destin isactiverecord activ record setactiverecord set activ record istestautomat test automat settestautomat set test automat isincludenonportableattribut includ portabl attribut setincludenonportableattribut set includ portabl attribut hasmultipleschema multipl schema init initializeimportedkei initi import initializeexportedkei initi export initializeindic initi indic initializejoint initi join tabl hashcod hash code equal tostr 
VARSIG23	object obj 
VARSIG22	tabl tabl 
VARSIG21	indexcolumn column indexcolumn column 
VARSIG20	 
VARSIG7	testautomat test automat 
VARSIG6	activerecord activ record 
VARSIG9	tabl tabl 
VARSIG8	includenonportableattribut includ portabl attribut 
VARSIG3	tabl tabl 
VARSIG2	schemanam schema 
VARSIG5	javapackag destinationpackag destin 
VARSIG4	modulenam modul 
COMMENTS	repres databas model tabl databas tabl modul entiti creat javapackag entiti creat includ portabl jpa attribut column annot databas multipl schema gener activ record crud method entiti creat integr test constructor tabl requir activ record crud method gener entiti set activ record crud method gener entiti activerecord activ record initialis model establish relationship element model foreign mark repeat column insert updat determin tabl join tabl identifi join tabl tabl primari foreign point entiti tabl column 
VARSIG19	tabl tabl 
VARSIG1	 
VARSIG18	refer refer 
VARSIG0	set tabl tabl 
VARSIG17	foreignkei foreign kei exportedkei export kei 
VARSIG12	refer refer 
VARSIG11	foreignkei foreign kei foreignkei foreign kei 
VARSIG10	tabl tabl 
VARSIG16	tabl tabl 
VARSIG15	refer refer 
VARSIG14	foreignkei foreign kei foreignkei foreign kei 
VARSIG13	map entri column set foreignkei foreign kei entryset entri set 
MTHSIG17	initializeexportedkei initi export tabl tabl 
MTHSIG18	initializeindic initi indic tabl tabl 
MTHSIG15	init 
MTHSIG16	initializeimportedkei initi import tabl tabl 
MTHSIG13	setincludenonportableattribut set includ portabl attribut includenonportableattribut includ portabl attribut 
MTHSIG14	hasmultipleschema multipl schema 
MTHSIG11	settestautomat set test automat testautomat test automat 
MTHSIG12	isincludenonportableattribut includ portabl attribut 
MTHSIG19	initializejoint initi join tabl tabl tabl 
MTHSIG10	istestautomat test automat 
VARIABLES	tabl schemanam schema tabl modulenam modul destinationpackag destin activerecord activ record testautomat test automat includenonportableattribut includ portabl attribut tabl tabl foreignkei foreign kei refer entryset entri set foreignkei foreign kei refer tabl exportedkei export kei refer tabl indexcolumn column tabl obj tabl modulenam modul destinationpackag destin includenonportableattribut includ portabl attribut multipleschema multipl schema activerecord activ record testautomat test automat schema keysequencemap kei sequenc map keysequ kei sequenc repeatedcolumn repeat column foreigntablenam foreign tabl foreignschemanam foreign schema targett target tabl localcolumn local column fkset set foreigncolumn foreign column foreignkei foreign keysequencemap kei sequenc map keysequ kei sequenc foreigntablenam foreign tabl foreignschemanam foreign schema targett target tabl localcolumn local column foreigncolumn foreign column column equal iter column prime result 
