VARSIG6	object 
VARSIG3	logicalpath logic path path 
VARSIG2	javatyp type javatyp type 
VARSIG5	metadataidentificationstr metadata identif 
VARSIG4	metadataidentificationstr metadata identif 
COMMENTS	constant field 
CLASSES	gwtproxymetadata gwt proxi metadata 
VARSIG1	proxytypecont proxi type content 
VARSIG0	 
METHODS	gwtproxymetadata gwt proxi metadata getmetadataidentifiertyp metadata identifi type createidentifi creat identifi getjavatyp type getpath path equal hashcod hash code 
MTHSIG4	getpath path metadataidentificationstr metadata identif 
MTHSIG5	equal object 
MTHSIG6	hashcod hash code 
MTHSIG0	gwtproxymetadata gwt proxi metadata proxytypecont proxi type content 
MTHSIG1	getmetadataidentifiertyp metadata identifi type 
PACKAGE	springframework roo addon gwt proxi 
MTHSIG2	createidentifi creat identifi javatyp type javatyp type logicalpath logic path path 
MTHSIG3	getjavatyp type metadataidentificationstr metadata identif 
VARIABLES	proxytypecont proxi type content javatyp type path metadataidentificationstr metadata identif metadataidentificationstr metadata identif type type proxytypecont proxi type content 
