VARSIG39	ioexcept except ioe 
MTHSIG4	createwrapperaddon creat wrapper addon javapackag toplevelpackag top level groupid group artifactid artifact version vendornam vendor lincenseurl lincens url docurl doc url osgiimport osgi import descript projectnam project 
VARSIG34	targetfilenam target filenam 
MTHSIG5	createi naddon creat addon javapackag toplevelpackag top level languag local local file messagebundl messag bundl file flaggraph flag graphic descript projectnam project 
VARSIG33	document pom 
MTHSIG6	createproject creat project javapackag toplevelpackag top level type type descript projectnam project 
VARSIG32	projectnam project 
MTHSIG7	writepomfil write pom file document pom 
VARSIG31	descript 
MTHSIG0	activ componentcontext compon context context 
VARSIG38	projectnam project 
MTHSIG1	isaddoncreateposs addon creat 
VARSIG37	type type 
PACKAGE	springframework roo addon creator 
MTHSIG2	createadvancedaddon creat advanc addon javapackag toplevelpackag top level descript projectnam project 
VARSIG36	path path 
MTHSIG3	createsimpleaddon creat simpl addon javapackag toplevelpackag top level descript projectnam project 
VARSIG35	javapackag toplevelpackag top level 
MTHSIG8	instal targetfilenam target filenam javapackag toplevelpackag top level path path type type projectnam project 
VARSIG30	type type 
MTHSIG9	writetextfil write text file fullpathfromroot full path root messag 
CLASSES	creatoroperationsimpl creator oper impl 
VARSIG29	javapackag toplevelpackag top level 
VARSIG28	ioexcept except ioe 
METHODS	activ isaddoncreateposs addon creat createadvancedaddon creat advanc addon createsimpleaddon creat simpl addon createwrapperaddon creat wrapper addon createi naddon creat addon createproject creat project writepomfil write pom file instal writetextfil write text file installflaggraph instal flag graphic geterrormsg error msg 
VARSIG23	projectnam project 
VARSIG22	descript 
VARSIG21	file flaggraph flag graphic 
VARSIG20	file messagebundl messag bundl 
VARSIG27	ioexcept except 
VARSIG26	word 
VARSIG25	ioexcept except 
VARSIG24	word 
VARSIG7	javapackag toplevelpackag top level 
VARSIG6	projectnam project 
VARSIG9	artifactid artifact 
VARSIG8	groupid group 
VARSIG3	projectnam project 
VARSIG2	descript 
VARSIG5	descript 
VARSIG4	javapackag toplevelpackag top level 
COMMENTS	implement link creatoroper creator oper type project creat simpl addon advanc addon languag bundl osgi wrapper osgi librari constant field read templat insert user user output file user creat root file project maven pom readm txt toplevelpackag top level top level project creat requir type type project creat requir descript descript pom blank projectnam project blank sanitis version top level project load pom templat popul input write pom disk write root file write maven pom disk pom pom write requir destin assembl xml adjust roo annot read templat insert user user output file user retriev icon file 
VARSIG19	local local 
VARSIG1	javapackag toplevelpackag top level 
VARSIG18	languag 
VARSIG0	componentcontext compon context context 
VARSIG17	javapackag toplevelpackag top level 
VARSIG12	lincenseurl lincens url 
VARSIG11	vendornam vendor 
VARSIG10	version 
VARSIG16	projectnam project 
VARSIG15	descript 
VARSIG14	osgiimport osgi import 
VARSIG13	docurl doc url 
MTHSIG11	geterrormsg error msg localestr local str 
VARSIG45	ioexcept except 
VARSIG44	packagepath path 
VARSIG43	local local 
VARSIG42	ioexcept except ioe 
VARSIG46	localestr local str 
MTHSIG10	installflaggraph instal flag graphic local local packagepath path 
VARIABLES	context toplevelpackag top level descript projectnam project toplevelpackag top level descript projectnam project toplevelpackag top level groupid group artifactid artifact version vendornam vendor lincenseurl lincens url docurl doc url osgiimport osgi import descript projectnam project toplevelpackag top level languag local messagebundl messag bundl flaggraph flag graphic descript projectnam project word word ioe toplevelpackag top level type descript projectnam project pom targetfilenam target filenam toplevelpackag top level path type projectnam project ioe fullpathfromroot full path root messag ioe local packagepath path localestr local str type icon set url pom xml filemanag file manag pathresolv path resolv projectoper project oper httpservic http servic iconseturl icon set url wrappergroupid wrapper group pom root config description descript split langword lang langword lang languagenam languag packagepath path destinationfil destin file templateinputstream templat input stream input mutablefil mutabl file pomtempl pom templat pom root rootpath root path pomfil pom file toplevelpackagenam top level packagepath path destinationfil destin file templateinputstream templat input stream input mutablefil mutabl file path mutablefil mutabl file input success countrycod countri code bi zi entri expectedentrynam expect entri size buffer target bo 
VARSIG41	messag 
VARSIG40	fullpathfromroot full path root 
