VARSIG7	compilationunitservic compil unit servic compilationunitservic compil unit servic 
VARSIG6	express express 
VARSIG9	compilationunitservic compil unit servic compilationunitservic compil unit servic 
VARSIG8	express 
VARSIG3	compilationunitservic compil unit servic compilationunitservic compil unit servic 
VARSIG2	annotationexpr annot expr annotationexpr annot expr 
VARSIG5	javasymbolnam symbol annotationnam annot 
VARSIG4	membervaluepair member pair 
COMMENTS	parser implement link annotationmetadata annot metadata field factori annotationexpr annot expr compilationunitservic compil unit servic instanc annot type assort type annot receiv marker annot singl member annot normal annot comput actual annot type regard compil unit import gener member pair subsequ pars marker annot valu pair add add member pair iter express iter annot attribut creat pars attribut map determin type find real type facilit addit annot present type compilationunitservic compil unit servic requir annot add requir annot add requir creat holder annot creat search exist annot type convert candid annot type type javatyp type annot type need creat member pair parser requir creat annotationexpr annot expr vari depend member pair number pair present add annotationexpr annot expr actual annot eventu flush compil unit add member pair annotationexpr annot expr check case chang exist markerannotationexpr marker annot expr normalannotationexpr normal annot expr singlememberannotationexpr singl member annot expr number pair present upgrad express normalannotationexpr normal annot expr singl member pair updat express sort time upgrad express retain exist express valu reli nest instanc member pair isn eleg loss type paramet doesn preserv type paramet 
VARSIG1	compilationunitservic compil unit servic compilationunitservic compil unit servic 
VARSIG0	annotationexpr annot expr annotationexpr annot expr 
VARSIG17	annotationattributevalu annot attribut 
MTHSIG4	addannotationtolist add annot list compilationunitservic compil unit servic compilationunitservic compil unit servic list annotationexpr annot expr annot annotationmetadata annot metadata annot 
VARSIG12	annotationexpr annot expr candid 
MTHSIG5	convert annotationattributevalu annot attribut 
VARSIG11	annotationmetadata annot metadata annot 
VARSIG10	list annotationexpr annot expr annot 
MTHSIG0	getinst instanc annotationexpr annot expr annotationexpr annot expr compilationunitservic compil unit servic compilationunitservic compil unit servic 
VARSIG16	javasymbolnam symbol attributenam attribut 
MTHSIG1	javaparserannotationmetadatabuild parser annot metadata builder annotationexpr annot expr annotationexpr annot expr compilationunitservic compil unit servic compilationunitservic compil unit servic 
VARSIG15	annotationattributevalu annot attribut 
PACKAGE	springframework roo classpath javapars detail 
MTHSIG2	build 
VARSIG14	membervaluepair member pair pair 
MTHSIG3	convert javasymbolnam symbol annotationnam annot express express compilationunitservic compil unit servic compilationunitservic compil unit servic 
VARSIG13	javasymbolnam symbol attributenam attribut 
CLASSES	javaparserannotationmetadatabuild parser annot metadata builder 
METHODS	getinst instanc javaparserannotationmetadatabuild parser annot metadata builder build convert addannotationtolist add annot list convert 
VARIABLES	annotationexpr annot expr compilationunitservic compil unit servic annotationexpr annot expr compilationunitservic compil unit servic annotationnam annot express compilationunitservic compil unit servic compilationunitservic compil unit servic annot annot candid attributenam attribut pair attributenam attribut annotationtyp annot type attributevalu attribut valu nametofind find annotationpair annot pair attributevalu attribut valu annotationnam annot annotationmetadatabuild annot metadata builder annotationexpr annot expr floatingprecisiononli float precis result current left field fieldnam field scope nametofind find fscope scope fieldtyp field type enumdetail detail field fieldtyp field type enumdetail detail clazz nametofind find javatyp type castexp exp arrayel arrai element castexp exp foundexist exist existingnam exist javatyp type nametous membervaluepair member pair membervaluepair member pair annotationexpress annot express tous mae tous smae tous existingvalu exist annotationpair annot pair tous castvalu annotationexpr annot expr nestedannot nest annot membervaluepair member pair castvalu convertedvalu convert castvalu convertedvalu convert castvalu convertedvalu convert castvalu convertedvalu convert doubleattributevalu attribut castvalu convertedvalu convert castvalu convertedvalu convert castvalu convertedvalu convert castvalu nameexpr expr convertedvalu convert castvalu arrayel arrai element 
