MTHSIG28	getargnam arg 
MTHSIG29	getdatatyp data type 
MTHSIG26	compareto compar javatyp type 
MTHSIG27	tostr 
MTHSIG24	hashcod hash code 
MTHSIG25	equal object obj 
MTHSIG22	isarrai arrai 
MTHSIG23	getarrai arrai 
MTHSIG4	javatyp type fullyqualifiedtypenam fulli qualifi type javatyp type enclosingtyp enclos type 
VARSIG34	object obj 
MTHSIG5	javatyp type type 
VARSIG33	coretypeprefix core type prefix 
MTHSIG6	javatyp type fullyqualifiedtypenam fulli qualifi type arraydimens arrai dimens datatyp data type datatyp data type javasymbolnam symbol argnam arg list javatyp type paramet 
VARSIG32	javatyp type 
MTHSIG7	javatyp type fullyqualifiedtypenam fulli qualifi type javatyp type enclosingtyp enclos type arraydimens arrai dimens datatyp data type datatyp data type javasymbolnam symbol argnam arg list javatyp type paramet 
VARSIG31	map type 
MTHSIG0	listof list javatyp type elementtyp element type 
MTHSIG1	getinst instanc fullyqualifiedtypenam fulli qualifi type arraydimens arrai dimens datatyp data type datatyp data type javasymbolnam symbol argnam arg javatyp type paramet 
PACKAGE	springframework roo model 
MTHSIG2	getinst instanc fullyqualifiedtypenam fulli qualifi type javatyp type enclosingtyp enclos type arraydimens arrai dimens datatyp data type datatyp data type javasymbolnam symbol argnam arg javatyp type paramet 
MTHSIG3	javatyp type fullyqualifiedtypenam fulli qualifi type 
VARSIG35	javatyp type 
MTHSIG20	ismultivalu multi valu 
MTHSIG21	getparamet paramet 
MTHSIG8	getrelativefilenam rel file 
VARSIG30	importregistrationresolv registr resolv resolv 
MTHSIG9	getsimpletypenam simpl type 
CLASSES	javatyp type 
VARSIG29	staticform form 
VARSIG28	importregistrationresolv registr resolv resolv 
METHODS	listof list getinst instanc getinst instanc javatyp type javatyp type javatyp type javatyp type javatyp type getrelativefilenam rel file getsimpletypenam simpl type getfullyqualifiedtypenam fulli qualifi type getnameincludingtypeparamet includ type paramet getnameincludingtypeparamet includ type paramet getnameincludingtypeparamet includ type paramet getpackag getenclosingtyp enclos type isdefaultpackag isprimit primit iscommoncollectiontyp common collect type iscoretyp core type ismultivalu multi valu getparamet paramet isarrai arrai getarrai arrai hashcod hash code equal compareto compar tostr getargnam arg getdatatyp data type getarraysuffix arrai suffix determineenclosingtyp determin enclos type 
VARSIG23	arraydimens arrai dimens 
VARSIG22	javatyp type enclosingtyp enclos type 
VARSIG21	fullyqualifiedtypenam fulli qualifi type 
VARSIG20	list javatyp type paramet 
VARSIG27	staticform form 
VARSIG26	list javatyp type paramet 
VARSIG25	javasymbolnam symbol argnam arg 
VARSIG24	datatyp data type datatyp data type 
MTHSIG31	determineenclosingtyp determin enclos type 
MTHSIG30	getarraysuffix arrai suffix 
VARSIG7	javatyp type enclosingtyp enclos type 
VARSIG6	fullyqualifiedtypenam fulli qualifi type 
VARSIG9	datatyp data type datatyp data type 
VARSIG8	arraydimens arrai dimens 
VARSIG3	datatyp data type datatyp data type 
VARSIG2	arraydimens arrai dimens 
VARSIG5	javatyp type paramet 
VARSIG4	javasymbolnam symbol argnam arg 
COMMENTS	declar type detail member instanc immut note type contain type formal refer type requir conveni wai determin type type simpl link springframework core convert convert convert offer constant link wildcard type paramet list list xxxx list fulli qualifi name common collect type return link javatyp type list element type elementtyp element type type element list requir type factori link javatyp type full detail recal link javatyp type immut set valu factori constructor ambigu problem exist caller link javatyp type datatyp data type javasymbolnam symbol list fullyqualifiedtypenam fulli qualifi type rule arraydimens arrai dimens number arrai dimens arrai dimension arrai datatyp data type link datatyp data type requir argnam arg type argument type unassign paramet type paramet applic aren javatyp type instanc construct base pass detail factori link javatyp type full detail recal link javatyp type immut set valu factori constructor ambigu problem exist caller link javatyp type datatyp data type javasymbolnam symbol list fullyqualifiedtypenam fulli qualifi type rule enclosingtyp enclos type type type enclos type arraydimens arrai dimens number arrai dimens arrai dimension arrai datatyp data type link datatyp data type requir argnam arg type argument type unassign paramet type paramet applic aren javatyp type instanc construct base pass detail field construct link javatyp type fulli qualifi type enforc rule list link javasymbolnam symbol assertjavanameleg legal letter simpl type upper fulli qualifi type includ exclud design fullyqualifiedtypenam fulli qualifi type rule mandatori construct link javatyp type fulli qualifi type enforc rule list link javasymbolnam symbol assertjavanameleg legal letter simpl type upper fulli qualifi type includ exclud design fullyqualifiedtypenam fulli qualifi type rule mandatori enclosingtyp enclos type type type enclos type constructor equival link javatyp type take conveni type safeti type creat instanc requir construct link javatyp type full detail recal link javatyp type immut set valu fullyqualifiedtypenam fulli qualifi type rule arraydimens arrai dimens number arrai dimens arrai dimension arrai datatyp data type link datatyp data type requir argnam arg type argument type unassign paramet type paramet applic aren construct link javatyp type full detail recal link javatyp type immut set valu fullyqualifiedtypenam fulli qualifi type rule enclosingtyp enclos type type type enclos type arraydimens arrai dimens number arrai dimens arrai dimension arrai datatyp data type link datatyp data type requir argnam arg type argument type unassign paramet type paramet applic aren return sourc file type start base type call foo return foo delimit platform specif separ blank path period empti fulli qualifi compli rule constructor obtain type includ type paramet format manner compat type resolut place side free type includ paramet legal code empti obtain type includ type paramet format manner compat usag pass argument type name attempt resolv automat regist pass resolv side effect pass resolv staticform form output compat resolv resolv resolut occur type includ paramet legal code empti wasn wildcard detail object append isn type arg append object handl period start capit letter enclos type enclos type type primit arrai element primit type core field variabl type multipl valu normal convent deleg compareto compar effici reason ad field ensur equal object updat dot there there enclos type start handl type foo bar enclos type handl probabl type alpha foo bar letter upper treat type 
VARSIG19	javasymbolnam symbol argnam arg 
VARSIG1	fullyqualifiedtypenam fulli qualifi type 
VARSIG18	datatyp data type datatyp data type 
VARSIG0	javatyp type elementtyp element type 
VARSIG17	arraydimens arrai dimens 
VARSIG12	fullyqualifiedtypenam fulli qualifi type 
VARSIG11	javatyp type paramet 
VARSIG10	javasymbolnam symbol argnam arg 
VARSIG16	fullyqualifiedtypenam fulli qualifi type 
VARSIG15	type 
VARSIG14	javatyp type enclosingtyp enclos type 
VARSIG13	fullyqualifiedtypenam fulli qualifi type 
MTHSIG17	isprimit primit 
MTHSIG18	iscommoncollectiontyp common collect type 
MTHSIG15	getenclosingtyp enclos type 
MTHSIG16	isdefaultpackag 
MTHSIG13	getnameincludingtypeparamet includ type paramet staticform form importregistrationresolv registr resolv resolv map type 
MTHSIG14	getpackag 
MTHSIG11	getnameincludingtypeparamet includ type paramet 
MTHSIG12	getnameincludingtypeparamet includ type paramet staticform form importregistrationresolv registr resolv resolv 
MTHSIG19	iscoretyp core type 
MTHSIG10	getfullyqualifiedtypenam fulli qualifi type 
VARIABLES	elementtyp element type fullyqualifiedtypenam fulli qualifi type arraydimens arrai dimens datatyp data type argnam arg paramet fullyqualifiedtypenam fulli qualifi type enclosingtyp enclos type arraydimens arrai dimens datatyp data type argnam arg paramet fullyqualifiedtypenam fulli qualifi type fullyqualifiedtypenam fulli qualifi type enclosingtyp enclos type type fullyqualifiedtypenam fulli qualifi type arraydimens arrai dimens datatyp data type argnam arg paramet fullyqualifiedtypenam fulli qualifi type enclosingtyp enclos type arraydimens arrai dimens datatyp data type argnam arg paramet staticform form resolv staticform form resolv type coretypeprefix core type prefix obj object object object object object object object object object object primit primit primit arrai primit primit primit primit primit primit primit object wildcard wildcard wildcard core type prefix common collect type defaultpackag arraydimens arrai dimens datatyp data type argnam arg paramet fullyqualifiedtypenam fulli qualifi type simpletypenam simpl type enclosingtyp enclos type offset counter enclosingtypefullyqualifiedtypenam enclos type fulli qualifi type offset offset prime result offset possiblenam offset offset enclosedwithinpackag enclos enclosedwithintypenam enclos type pretypenameport pre type portion 
