VARSIG7	sortbyaccessorname sort accessor
VARSIG6	memberholdingtypedetails member holding type details holder
VARSIG9	methodmetadata metadata
VARSIG8	memberholdingtypedetails member holding type details holder
VARSIG3	list memberholdingtypedetails member holding type details memberholdingtypedetails member holding type details
VARSIG2	physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata
VARSIG5	javasymbolname symbol propertyname property
VARSIG4	methodmetadata metadata methodmetadata metadata
COMMENTS	metadata link roobeaninfo roo bean info represents common beans accessors mutators metadata introspect link itdproviderrole provider role accessor mutator providers providers rely details metadata permitted providers register additional trigger provider create representation desired output obtains property javabean bean accessor mutator determined discarding letters depending set special searching actual field methodmetadata metadata search required set property returned attempts locate field represented presented property javabean bean getter setter backs field identical cases returned propertyname property property required field couldn find property exact scan lowercase character roo accessor methods defined superclasses sorted alphabetically empty sortbyaccessorname sort accessor sort returned accessors getter accessor methods defined superclasses empty treemap tree map methods output alphabetic order key based methodmetadata metadata parameter mutator methods defined superclasses sorted alphabetically empty treemap tree map methods output alphabetic order key based methodmetadata metadata single parameter set type metadata represents returns
VARSIG1	javatype type aspectname aspect
VARSIG0	identifier
MTHSIG4	getpublicaccessors accessors sortbyaccessorname sort accessor
VARSIG12	javatype type javatype type
MTHSIG5	getpublicmutators mutators
VARSIG11	methodmetadata metadata
MTHSIG6	getjavabean bean
VARSIG10	memberholdingtypedetails member holding type details holder
MTHSIG7	tostring
MTHSIG0	beaninfometadata bean info metadata identifier javatype type aspectname aspect physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata list memberholdingtypedetails member holding type details memberholdingtypedetails member holding type details
VARSIG16	metadataidentificationstring metadata identification
MTHSIG1	getpropertynameforjavabeanmethod property bean methodmetadata metadata methodmetadata metadata
VARSIG15	metadataidentificationstring metadata identification
PACKAGE	springframework roo addon beaninfo
MTHSIG2	getfieldforpropertyname field property javasymbolname symbol propertyname property
VARSIG14	metadataidentificationstring metadata identification
MTHSIG3	getpublicaccessors accessors
VARSIG13	path path
MTHSIG8	getmetadataidentifertype metadata identifer type
MTHSIG9	createidentifier create identifier javatype type javatype type path path
MTHSIG11	getpath path metadataidentificationstring metadata identification
MTHSIG12	isvalid valid metadataidentificationstring metadata identification
CLASSES	beaninfometadata bean info metadata
METHODS	beaninfometadata bean info metadata getpropertynameforjavabeanmethod property bean getfieldforpropertyname field property getpublicaccessors accessors getpublicaccessors accessors getpublicmutators mutators getjavabean bean tostring getmetadataidentifertype metadata identifer type createidentifier create identifier getjavatype type getpath path isvalid valid
MTHSIG10	getjavatype type metadataidentificationstring metadata identification
VARIABLES	identifier aspectname aspect governorphysicaltypemetadata governor physical type metadata memberholdingtypedetails member holding type details methodmetadata metadata propertyname property holder sortbyaccessorname sort accessor holder holder javatype type path metadataidentificationstring metadata identification metadataidentificationstring metadata identification metadataidentificationstring metadata identification type type memberholdingtypedetails member holding type details result map sortedbydetectionorder sorted detection order accessorname accessor map mutatorname mutator tsc
