MTHSIG4	getextendstypes types
MTHSIG5	getimplementstypes types
MTHSIG0	getdeclaredmethods declared methods
MTHSIG1	getdeclaredconstructors declared constructors
PACKAGE	springframework roo classpath details
MTHSIG2	getdeclaredfields declared fields
MTHSIG3	gettypeannotations type annotations
COMMENTS	members aspect lists type level annotations includes annotations declared type defined declare type destinationtype destination type annotation feature unmodifiable representation annotations declared type empty lists classes type empty empty link list extend single link list support interfaces support special declare parents destinationtype destination type superclasstype superclass type feature itds permits effectively multiple inheritance unmodifiable representation classes type empty lists classes type empty link list support interfaces support special declare parents destinationtype destination type someinterfacetype type feature itds unmodifiable representation classes type empty
CLASSES	memberholdingtypedetails member holding type details
VARIABLES	
METHODS	getdeclaredmethods declared methods getdeclaredconstructors declared constructors getdeclaredfields declared fields gettypeannotations type annotations getextendstypes types getimplementstypes types
