VARSIG7	javatype type javatype type
VARSIG6	fieldmetadata field metadata field
VARSIG9	metadataidentificationstring metadata identification
VARSIG8	path path
VARSIG3	
VARSIG2	physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata
VARSIG5	runtimeexception runtime exception
VARSIG4	locale locale
COMMENTS	metadata link rooplural roo plural annotation cache process values annotation compute plural form needed create representation desired output inflector failed roo don pluralize plural type field field plural details required guaranteed plural computed annotation inflector returns empty plural cache build plural plural user defined annotation manually compute plural user create cache defer field plural retrieval required instance populate cache time
VARSIG1	javatype type aspectname aspect
VARSIG0	identifier
MTHSIG4	tostring
MTHSIG5	getmetadataidentifertype metadata identifer type
VARSIG11	metadataidentificationstring metadata identification
MTHSIG6	createidentifier create identifier javatype type javatype type path path
VARSIG10	metadataidentificationstring metadata identification
MTHSIG7	getjavatype type metadataidentificationstring metadata identification
MTHSIG0	pluralmetadata plural metadata identifier javatype type aspectname aspect physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata
MTHSIG1	pluralize locale locale
PACKAGE	springframework roo addon plural
MTHSIG2	getplural plural
MTHSIG3	getplural plural fieldmetadata field metadata field
MTHSIG8	getpath path metadataidentificationstring metadata identification
MTHSIG9	isvalid valid metadataidentificationstring metadata identification
CLASSES	pluralmetadata plural metadata
METHODS	pluralmetadata plural metadata pluralize getplural plural getplural plural tostring getmetadataidentifertype metadata identifer type createidentifier create identifier getjavatype type getpath path isvalid valid
VARIABLES	identifier aspectname aspect governorphysicaltypemetadata governor physical type metadata locale field javatype type path metadataidentificationstring metadata identification metadataidentificationstring metadata identification metadataidentificationstring metadata identification type type plural annotation type cache annotation symbolname symbol theplural plural annotation attribute tsc
