VARSIG2	indentbefor indent 
COMMENTS	simpl produc bodi link invocablemembermetadata invoc member metadata getbodi bodi bodi assum indent level constructor empti bodi print messag indent print messag ad indent return commonli print relev number indent increas indent level decreas indent level print blank ensur indent includ consist javapars javapars dumpvisitor dump visitor reset indent 
CLASSES	invocablememberbodybuild invoc member bodi builder 
VARSIG1	messag 
VARSIG0	messag 
METHODS	getinst instanc invocablememberbodybuild invoc member bodi builder append appendformallin append formal appendind append indent getoutput output indent indentremov indent remov newlin newlin reset 
MTHSIG4	appendind append indent 
MTHSIG5	getoutput output 
MTHSIG6	indent 
MTHSIG7	indentremov indent remov 
MTHSIG0	getinst instanc 
MTHSIG1	invocablememberbodybuild invoc member bodi builder 
PACKAGE	springframework roo classpath 
MTHSIG2	append messag 
MTHSIG3	appendformallin append formal messag 
MTHSIG10	reset 
VARIABLES	messag messag indentbefor indent indentlevel indent level reset stringbuild builder 
MTHSIG8	newlin 
MTHSIG9	newlin indentbefor indent 
