VARSIG7	javasymbolnam symbol methodnam 
VARSIG6	javasymbolnam symbol methodnam 
VARSIG9	proposednam propos 
VARSIG8	list javatyp type paramet 
VARSIG3	javatyp type typenam type 
VARSIG2	javasymbolnam symbol fieldnam field 
VARSIG5	javatyp type annot 
VARSIG4	javasymbolnam symbol fieldnam field 
COMMENTS	immut represent member aspect type type equival call link getextendstyp type check type return list type supertyp check requir locat constructor paramet type paramet locat paramet constructor locat field fieldnam field locat field locat type typenam type locat requir return name dynam finder list list class type empti empti link list extend singl link list support interfac support special declar parent destinationtyp destin type superclasstyp superclass type featur itd permit effect multipl inherit unmodifi represent class type empti search inherit hierarchi field locat fieldnam field locat requir field search inherit hierarchi locat declar field annot annot annot locat requir locat field empti list class type empti link list support interfac support special declar parent destinationtyp destin type someinterfacetyp type featur itd unmodifi represent class type empti layer compon servic repositori return domain entiti manag compon return empti list list empti search inherit hierarchi locat paramet account methodnam locat requir search inherit hierarchi paramet locat methodnam locat requir paramet locat paramet locat method superclass method gener uniqu field start propos ad underscor uniqu proposednam propos propos field requir that uniqu governor memberfindingutil member find util getfield field springframework roo classpath detail memberholdingtypedetail member hold type detail javasymbolnam symbol type type equival call link getimplementstyp type check type return list type interfac check requir type equival call link getimplementstyp type check type return list type check requir 
VARSIG1	list javatyp type paramet 
VARSIG0	javatyp type type 
MTHSIG4	getdeclaredfield declar field 
MTHSIG5	getdeclarediniti declar initi 
VARSIG11	javatyp type interfacetyp type 
MTHSIG6	getdeclaredinnertyp declar type javatyp type typenam type 
VARSIG10	javatyp type type 
MTHSIG7	getdeclaredinnertyp declar type 
MTHSIG0	extendstyp type javatyp type type 
MTHSIG1	getdeclaredconstructor declar constructor list javatyp type paramet 
PACKAGE	springframework roo classpath detail 
MTHSIG2	getdeclaredconstructor declar constructor 
MTHSIG3	getdeclaredfield declar field javasymbolnam symbol fieldnam field 
MTHSIG20	implementstyp type javatyp type interfacetyp type 
MTHSIG8	getdeclaredmethod declar method 
MTHSIG9	getdynamicfindernam dynam finder name 
MTHSIG17	getmethod method 
MTHSIG18	getuniquefieldnam uniqu field proposednam propos 
MTHSIG15	getmethod javasymbolnam symbol methodnam 
MTHSIG16	getmethod javasymbolnam symbol methodnam list javatyp type paramet 
MTHSIG13	getimplementstyp type 
MTHSIG14	getlayerent layer entiti 
MTHSIG11	getfield field javasymbolnam symbol fieldnam field 
MTHSIG12	getfieldswithannot field annot javatyp type annot 
CLASSES	memberholdingtypedetail member hold type detail 
METHODS	extendstyp type getdeclaredconstructor declar constructor getdeclaredconstructor declar constructor getdeclaredfield declar field getdeclaredfield declar field getdeclarediniti declar initi getdeclaredinnertyp declar type getdeclaredinnertyp declar type getdeclaredmethod declar method getdynamicfindernam dynam finder name getextendstyp type getfield field getfieldswithannot field annot getimplementstyp type getlayerent layer entiti getmethod getmethod getmethod method getuniquefieldnam uniqu field implementsani implementstyp type 
MTHSIG19	implementsani javatyp type type 
MTHSIG10	getextendstyp type 
VARIABLES	type paramet fieldnam field typenam type fieldnam field annot methodnam methodnam paramet proposednam propos type interfacetyp type 
