VARSIG7	fieldmetadata field metadata field 
VARSIG6	fieldmetadata field metadata field 
VARSIG9	plugin plugin 
VARSIG8	fieldmetadata field metadata field 
VARSIG3	javatyp type control 
VARSIG2	fieldmetadata field metadata field 
VARSIG5	serverurl server url 
VARSIG4	 
COMMENTS	implement link seleniumoper selenium oper creat selenium testcas control javatyp type control test requir test option abort creation selenium test control creation instanc form back object add composit identifi field need add field add verif field instal selenium maven plugin plugin instal instal plugin 
VARSIG19	javatyp type formbackingtyp form back type 
VARSIG1	linktarget link target 
VARSIG18	document document 
VARSIG0	document document 
VARSIG17	fieldmetadata field metadata field 
MTHSIG4	isseleniuminstallationposs selenium instal 
VARSIG12	 
MTHSIG5	isspecialtyp special type javatyp type javatyp type 
VARSIG11	testpath test path 
MTHSIG6	managetestsuit manag test suit testpath test path serverurl server url 
VARSIG10	javatyp type javatyp type 
MTHSIG7	opencommand open command document document linktarget link target 
MTHSIG0	clickandwaitcommand click wait command document document linktarget link target 
VARSIG16	document document 
MTHSIG1	converttoiniti convert initi fieldmetadata field metadata field 
VARSIG15	linktarget link target 
PACKAGE	springframework roo addon web selenium 
MTHSIG2	generatetest gener test javatyp type control serverurl server url 
VARSIG14	document document 
MTHSIG3	installmavenplugin instal maven plugin 
VARSIG13	serverurl server url 
MTHSIG8	typecommand type command document document fieldmetadata field metadata field 
MTHSIG9	verifytextcommand verifi text command document document javatyp type formbackingtyp form back type fieldmetadata field metadata field 
CLASSES	seleniumoperationsimpl selenium oper impl 
METHODS	clickandwaitcommand click wait command converttoiniti convert initi generatetest gener test installmavenplugin instal maven plugin isseleniuminstallationposs selenium instal isspecialtyp special type managetestsuit manag test suit opencommand open command typecommand type command verifytextcommand verifi text command 
VARSIG20	fieldmetadata field metadata field 
VARIABLES	document linktarget link target field control serverurl server url field field field plugin javatyp type testpath test path serverurl server url document linktarget link target document field document formbackingtyp form back type field logger filemanag file manag memberdetailsscann member detail scanner menuoper menu oper metadataservic metadata servic pathresolv path resolv persistencememberloc persist member locat projectoper project oper typelocationservic type locat servic webmetadataservic web metadata servic initi min fieldtyp field type cal datetimeformat time format style controllertypedetail control type detail path webscaffoldmetadataidentifi web scaffold metadata identifi webscaffoldmetadata web scaffold metadata formbackingtyp form back type relativetestfilepath rel test file path seleniumpath selenium path templateinputstream templat input stream document root tbodi formbackingtypedetail form back type detail memberdetail member detail fieldtyp field type fieldbuild field builder fieldnam field field fieldtyp field type fieldtyp field type configur plugin relativetestfilepath rel test file path seleniumpath selenium path inputstream input stream suit root 
