VARSIG7	bodi 
VARSIG6	list javatyp type throwstyp type 
VARSIG8	commentstructur comment structur commentstructur comment structur 
VARSIG3	list annotationmetadata annot metadata annot 
VARSIG2	modifi 
VARSIG5	list javasymbolnam symbol parameternam paramet name 
VARSIG4	list annotatedjavatyp annot type parametertyp paramet type 
COMMENTS	implement link invocablemembermetadata invoc member metadata constructor customdata custom data declaredbymetadataid declar metadata modifi annot parametertyp paramet type parameternam paramet name throwstyp type bodi 
CLASSES	abstractinvocablemembermetadata invoc member metadata 
VARSIG1	declaredbymetadataid declar metadata 
VARSIG0	customdata custom data customdata custom data 
METHODS	abstractinvocablemembermetadata invoc member metadata getbodi bodi getparameternam paramet name getparametertyp paramet type getthrowstyp type getcommentstructur comment structur setcommentstructur set comment structur 
MTHSIG4	getthrowstyp type 
MTHSIG5	getcommentstructur comment structur 
MTHSIG6	setcommentstructur set comment structur commentstructur comment structur commentstructur comment structur 
MTHSIG0	abstractinvocablemembermetadata invoc member metadata customdata custom data customdata custom data declaredbymetadataid declar metadata modifi list annotationmetadata annot metadata annot list annotatedjavatyp annot type parametertyp paramet type list javasymbolnam symbol parameternam paramet name list javatyp type throwstyp type bodi 
MTHSIG1	getbodi bodi 
PACKAGE	springframework roo classpath detail 
MTHSIG2	getparameternam paramet name 
MTHSIG3	getparametertyp paramet type 
VARIABLES	customdata custom data declaredbymetadataid declar metadata modifi annot parametertyp paramet type parameternam paramet name throwstyp type bodi commentstructur comment structur bodi parameternam paramet name parametertyp paramet type throwstyp type commentstructur comment structur 
