VARSIG7	methodtarget target target 
VARSIG6	optioncontext option context 
VARSIG9	requiredtyp requir type 
VARSIG8	servicetyp servic type 
VARSIG3	list complet complet 
VARSIG2	optioncontext option context 
VARSIG5	existingdata exist data 
VARSIG4	requiredtyp requir type 
COMMENTS	convers cloud foundri model class 
CLASSES	serviceconfigurationconvert servic configur convert 
VARSIG1	requiredtyp requir type 
VARSIG0	 
METHODS	convertfromtext convert text getallpossiblevalu valu support 
VARSIG10	optioncontext option context 
MTHSIG0	convertfromtext convert text requiredtyp requir type optioncontext option context 
MTHSIG1	getallpossiblevalu valu list complet complet requiredtyp requir type existingdata exist data optioncontext option context methodtarget target target 
PACKAGE	springframework roo addon cloud foundri convert 
MTHSIG2	support requiredtyp requir type optioncontext option context 
VARIABLES	requiredtyp requir type optioncontext option context complet requiredtyp requir type existingdata exist data optioncontext option context target servicetyp servic type requiredtyp requir type optioncontext option context session 
