VARSIG7	list complet complet 
VARSIG6	except 
VARSIG9	existingdata exist data 
VARSIG8	requiredtyp requir type 
VARSIG3	requiredtyp requir type 
VARSIG2	 
VARSIG5	field candid 
VARSIG4	optioncontext option context 
COMMENTS	simpl link convert class provid field repres textual valu fallback insensit search insensit search 
VARSIG1	field field 
VARSIG0	clazz 
MTHSIG4	support requiredtyp requir type optioncontext option context 
VARSIG12	field 
VARSIG11	methodtarget target target 
VARSIG10	optioncontext option context 
MTHSIG0	add clazz 
MTHSIG1	convertfromtext convert text requiredtyp requir type optioncontext option context 
VARSIG15	optioncontext option context 
PACKAGE	springframework roo shell convert 
MTHSIG2	getallpossiblevalu valu list complet complet requiredtyp requir type existingdata exist data optioncontext option context methodtarget target target 
VARSIG14	requiredtyp requir type 
MTHSIG3	remov clazz 
VARSIG13	clazz 
CLASSES	staticfieldconverterimpl field convert impl 
METHODS	add convertfromtext convert text getallpossiblevalu valu remov support 
VARIABLES	clazz field requiredtyp requir type optioncontext option context candid complet requiredtyp requir type existingdata exist data optioncontext option context target field clazz requiredtyp requir type optioncontext option context field ffield modifi ffield ffield 
