VARSIG7	deepseri deep serial 
VARSIG6	rootnam root 
VARSIG9	rootnam root 
VARSIG8	javatyp type type 
VARSIG3	javatyp type type 
VARSIG2	iso date iso date 
VARSIG5	javatyp type type 
VARSIG4	rootnam root 
COMMENTS	oper addon json oper annot type project annot link springframework roo addon javabean roojavabean roo bean annot type project annot link springframework roo addon javabean roojavabean roo bean deepseri deep serial indic deep serial enabl option annot type project annot link springframework roo addon javabean roojavabean roo bean deepserializeind deep serial indic deep serial enabl option iso datesind iso date indic date serial iso format option annot link javatyp type link roojson roo json annot type type annot requir rootnam root root wrap json document option annot link javatyp type link roojson roo json annot typeth type type annot requir rootnameth root root wrap json document option deepserializeind deep serial indic deep serial enabl option annot link javatyp type link roojson roo json annot typeth type type annot requir rootnameth root root wrap json document option deepserializeind deep serial indic deep serial enabl option iso datesind iso date indic date serial iso format option command add command 
CLASSES	jsonoper json oper 
VARSIG1	deepseri deep serial 
VARSIG0	deepseri deep serial 
METHODS	annotateal annot annotateal annot annotateal annot annotatetyp annot type annotatetyp annot type annotatetyp annot type isjsoninstallationposs json instal 
MTHSIG4	annotatetyp annot type javatyp type type rootnam root deepseri deep serial 
MTHSIG5	annotatetyp annot type javatyp type type rootnam root deepseri deep serial iso date iso date 
VARSIG11	iso date iso date 
MTHSIG6	isjsoninstallationposs json instal 
VARSIG10	deepseri deep serial 
MTHSIG0	annotateal annot 
MTHSIG1	annotateal annot deepseri deep serial 
PACKAGE	springframework roo addon json 
MTHSIG2	annotateal annot deepseri deep serial iso date iso date 
MTHSIG3	annotatetyp annot type javatyp type type rootnam root 
VARIABLES	deepseri deep serial deepseri deep serial iso date iso date type rootnam root type rootnam root deepseri deep serial type rootnam root deepseri deep serial iso date iso date 
